primary_key,codes,Livestock,year,No_und
1,PT,Cattle,1989,1401206
2,PT,Cattle,1999,1415188
3,PT,Cattle,2009,1430285
4,PT,Cattle,2019,1581562
5,PT,Pigs,1989,2439199
6,PT,Pigs,1999,2418426
7,PT,Pigs,2009,1913161
8,PT,Pigs,2019,2213742
9,PT,Sheep,1989,2926278
10,PT,Sheep,1999,2929765
11,PT,Sheep,2009,2219639
12,PT,Sheep,2019,2182016
13,PT,Goats,1989,720522
14,PT,Goats,1999,537241
15,PT,Goats,2009,420711
16,PT,Goats,2019,372341
17,PT,Equidae,1989,150890
18,PT,Equidae,1999,96471
19,PT,Equidae,2009,56014
20,PT,Equidae,2019,39469
21,PT,Poultry,1989,31152651
22,PT,Poultry,1999,42631471
23,PT,Poultry,2009,35351548
24,PT,Poultry,2019,54503176
25,PT,Rabbits,1989,480294
26,PT,Rabbits,1999,1673702
27,PT,Rabbits,2009,1395143
28,PT,Rabbits,2019,1145856
29,PT,Inhabited hives and traditional cork hives,1989,366156
30,PT,Inhabited hives and traditional cork hives,1999,285230
31,PT,Inhabited hives and traditional cork hives,2009,195596
32,PT,Inhabited hives and traditional cork hives,2019,714367
33,1,Cattle,1989,1196077
34,1,Cattle,1999,1172437
35,1,Cattle,2009,1177019
36,1,Cattle,2019,1294891
37,1,Pigs,1989,2380233
38,1,Pigs,1999,2332864
39,1,Pigs,2009,1854306
40,1,Pigs,2019,2160819
41,1,Sheep,1989,2912043
42,1,Sheep,1999,2917719
43,1,Sheep,2009,2211173
44,1,Sheep,2019,2171753
45,1,Goats,1989,697471
46,1,Goats,1999,519018
47,1,Goats,2009,405627
48,1,Goats,2019,359461
49,1,Equidae,1989,140862
50,1,Equidae,1999,90544
51,1,Equidae,2009,53243
52,1,Equidae,2019,37980
53,1,Poultry,1989,30140943
54,1,Poultry,1999,41397586
55,1,Poultry,2009,34369250
56,1,Poultry,2019,53400978
57,1,Rabbits,1989,474660
58,1,Rabbits,1999,1654957
59,1,Rabbits,2009,1358415
60,1,Rabbits,2019,1133545
61,1,Inhabited hives and traditional cork hives,1989,360832
62,1,Inhabited hives and traditional cork hives,1999,279928
63,1,Inhabited hives and traditional cork hives,2009,192526
64,1,Inhabited hives and traditional cork hives,2019,701851
65,11,Cattle,1989,461919
66,11,Cattle,1999,400258
67,11,Cattle,2009,325274
68,11,Cattle,2019,305049
69,11,Pigs,1989,226748
70,11,Pigs,1999,179863
71,11,Pigs,2009,78128
72,11,Pigs,2019,74114
