Region,Work_load,primary_key,Work_1989
PT: Portugal,Mão-de-obra agrícola total,PT: PortugalMão-de-obra agrícola total,314509
,Mão-de-obra agrícola familiar,,213984
,Produtor,,120213
,Cônjuge,,60992
,Outros membros da família,,32780
,Mão-de-obra agrícola não familiar,,100525
,Permanente,,59808
,Eventual,,30350
,Mão-de-obra não contratada pelo produtor,,10367
1: Continente,Mão-de-obra agrícola total,1: ContinenteMão-de-obra agrícola total,293236
,Mão-de-obra agrícola familiar,,196990
,Produtor,,109949
,Cônjuge,,57518
,Outros membros da família,,29524
,Mão-de-obra agrícola não familiar,,96246
,Permanente,,57110
,Eventual,,28990
,Mão-de-obra não contratada pelo produtor,,10146
11: Norte,Mão-de-obra agrícola total,11: NorteMão-de-obra agrícola total,119432
,Mão-de-obra agrícola familiar,,93339
,Produtor,,50025
,Cônjuge,,28116
,Outros membros da família,,15198
,Mão-de-obra agrícola não familiar,,26092
,Permanente,,12515
,Eventual,,11186
,Mão-de-obra não contratada pelo produtor,,2392
111: Alto Minho,Mão-de-obra agrícola total,111: Alto MinhoMão-de-obra agrícola total,12493
,Mão-de-obra agrícola familiar,,10956
,Produtor,,5692
,Cônjuge,,3281
,Outros membros da família,,1984
,Mão-de-obra agrícola não familiar,,1537
,Permanente,,886
,Eventual,,559
,Mão-de-obra não contratada pelo produtor,,92
1111601: Arcos de Valdevez,Mão-de-obra agrícola total,1111601: Arcos de ValdevezMão-de-obra agrícola total,2087
,Mão-de-obra agrícola familiar,,1935
,Produtor,,1046
,Cônjuge,,626
,Outros membros da família,,263
,Mão-de-obra agrícola não familiar,,152
,Permanente,,75
,Eventual,,65
,Mão-de-obra não contratada pelo produtor,,11
111160101: Aboim das Choças,Mão-de-obra agrícola total,111160101: Aboim das ChoçasMão-de-obra agrícola total,35
,Mão-de-obra agrícola familiar,,34
,Produtor,,15
,Cônjuge,,13
,Outros membros da família,,6
,Mão-de-obra agrícola não familiar,,2
,Permanente,,1
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160102: Aguiã,Mão-de-obra agrícola total,111160102: AguiãMão-de-obra agrícola total,72
,Mão-de-obra agrícola familiar,,70
,Produtor,,38
,Cônjuge,,27
,Outros membros da família,,5
,Mão-de-obra agrícola não familiar,,3
,Permanente,,0
,Eventual,,2
,Mão-de-obra não contratada pelo produtor,,0
111160104: Ázere,Mão-de-obra agrícola total,111160104: ÁzereMão-de-obra agrícola total,19
,Mão-de-obra agrícola familiar,,18
,Produtor,,11
,Cônjuge,,5
,Outros membros da família,,2
,Mão-de-obra agrícola não familiar,,1
,Permanente,,0
,Eventual,,1
,Mão-de-obra não contratada pelo produtor,,0
111160105: Cabana Maior,Mão-de-obra agrícola total,111160105: Cabana MaiorMão-de-obra agrícola total,26
,Mão-de-obra agrícola familiar,,25
,Produtor,,15
,Cônjuge,,9
,Outros membros da família,,1
,Mão-de-obra agrícola não familiar,,0
,Permanente,,0
,Eventual,,0
,Mão-de-obra não contratada pelo produtor,,0
111160106: Cabreiro,Mão-de-obra agrícola total,111160106: CabreiroMão-de-obra agrícola total,123
,Mão-de-obra agrícola familiar,,114
,Produtor,,71
,Cônjuge,,32
,Outros membros da família,,11
,Mão-de-obra agrícola não familiar,,9
,Permanente,,6
,Eventual,,3
,Mão-de-obra não contratada pelo produtor,,0
111160108: Cendufe,Mão-de-obra agrícola total,111160108: CendufeMão-de-obra agrícola total,33
,Mão-de-obra agrícola familiar,,30
,Produtor,,17
,Cônjuge,,10
,Outros membros da família,,3
