primary_key,codes,age,year,No
1,PT,Total,1989,1974808
2,PT,Total,1999,1236214
3,PT,Total,2009,793169
4,PT,Total,2019,665571
5,PT,16 - 24 years,1989,657561
6,PT,16 - 24 years,1999,297276
7,PT,16 - 24 years,2009,117749
8,PT,16 - 24 years,2019,77596
9,PT,25 - 34 years,1989,180871
10,PT,25 - 34 years,1999,118577
11,PT,25 - 34 years,2009,64823
12,PT,25 - 34 years,2019,39144
13,PT,35 - 44 years,1989,197810
14,PT,35 - 44 years,1999,128967
15,PT,35 - 44 years,2009,78124
16,PT,35 - 44 years,2019,62975
17,PT,45 - 54 years,1989,280723
18,PT,45 - 54 years,1999,172767
19,PT,45 - 54 years,2009,120348
20,PT,45 - 54 years,2019,96556
21,PT,55 - 64 years,1989,325856
22,PT,55 - 64 years,1999,219604
23,PT,55 - 64 years,2009,149792
24,PT,55 - 64 years,2019,135715
25,PT,65 and more years,1989,331987
26,PT,65 and more years,1999,299023
27,PT,65 and more years,2009,262333
28,PT,65 and more years,2019,253585
29,1,Total,1989,1799736
30,1,Total,1999,1123418
31,1,Total,2009,709928
32,1,Total,2019,599497
33,1,16 - 24 years,1989,588464
34,1,16 - 24 years,1999,261168
35,1,16 - 24 years,2009,97709
36,1,16 - 24 years,2019,65012
37,1,25 - 34 years,1989,161583
38,1,25 - 34 years,1999,105578
39,1,25 - 34 years,2009,55656
40,1,25 - 34 years,2019,33372
41,1,35 - 44 years,1989,179995
42,1,35 - 44 years,1999,114971
43,1,35 - 44 years,2009,67103
44,1,35 - 44 years,2019,54580
45,1,45 - 54 years,1989,260280
46,1,45 - 54 years,1999,158099
47,1,45 - 54 years,2009,106646
48,1,45 - 54 years,2019,85102
49,1,55 - 64 years,1989,303164
50,1,55 - 64 years,1999,205057
51,1,55 - 64 years,2009,137181
52,1,55 - 64 years,2019,123148
53,1,65 and more years,1989,306250
54,1,65 and more years,1999,278545
55,1,65 and more years,2009,245633
56,1,65 and more years,2019,238283
57,11,Total,1989,722991
58,11,Total,1999,445403
59,11,Total,2009,302117
60,11,Total,2019,257718
61,11,16 - 24 years,1989,282417
62,11,16 - 24 years,1999,121437
63,11,16 - 24 years,2009,49223
64,11,16 - 24 years,2019,29579
65,11,25 - 34 years,1989,70102
66,11,25 - 34 years,1999,46690
67,11,25 - 34 years,2009,25831
68,11,25 - 34 years,2019,15449
69,11,35 - 44 years,1989,69023
70,11,35 - 44 years,1999,48014
71,11,35 - 44 years,2009,31291
72,11,35 - 44 years,2019,24968
73,11,45 - 54 years,1989,93057
74,11,45 - 54 years,1999,58993
75,11,45 - 54 years,2009,46994
76,11,45 - 54 years,2019,38203
77,11,55 - 64 years,1989,105145
78,11,55 - 64 years,1999,72401
79,11,55 - 64 years,2009,55026
80,11,55 - 64 years,2019,52751
81,11,65 and more years,1989,103247
82,11,65 and more years,1999,97868
83,11,65 and more years,2009,93752
84,11,65 and more years,2019,96768
85,111,Total,1989,108018
86,111,Total,1999,57799
87,111,Total,2009,37989
88,111,Total,2019,28806
89,111,16 - 24 years,1989,38925
90,111,16 - 24 years,1999,15278
91,111,16 - 24 years,2009,6281
92,111,16 - 24 years,2019,3519
93,111,25 - 34 years,1989,10381
94,111,25 - 34 years,1999,6080
95,111,25 - 34 years,2009,3521
96,111,25 - 34 years,2019,1868
97,111,35 - 44 years,1989,10994
98,111,35 - 44 years,1999,5919
99,111,35 - 44 years,2009,3797
100,111,35 - 44 years,2019,2883
101,111,45 - 54 years,1989,14404
102,111,45 - 54 years,1999,7707
103,111,45 - 54 years,2009,5361
104,111,45 - 54 years,2019,4197
105,111,55 - 64 years,1989,16020
106,111,55 - 64 years,1999,9828
107,111,55 - 64 years,2009,6958
108,111,55 - 64 years,2019,5550
109,111,65 and more years,1989,17294
110,111,65 and more years,1999,12987
111,111,65 and more years,2009,12071
112,111,65 and more years,2019,10789
113,1111601,Total,1989,15182
114,1111601,Total,1999,9005
115,1111601,Total,2009,5859
116,1111601,Total,2019,4512
117,1111601,16 - 24 years,1989,4931
118,1111601,16 - 24 years,1999,2021
119,1111601,16 - 24 years,2009,866
120,1111601,16 - 24 years,2019,534
121,1111601,25 - 34 years,1989,1285
122,1111601,25 - 34 years,1999,710
123,1111601,25 - 34 years,2009,451
124,1111601,25 - 34 years,2019,259
125,1111601,35 - 44 years,1989,1486
126,1111601,35 - 44 years,1999,852
127,1111601,35 - 44 years,2009,496
128,1111601,35 - 44 years,2019,434
129,1111601,45 - 54 years,1989,2199
130,1111601,45 - 54 years,1999,1224
131,1111601,45 - 54 years,2009,834
132,1111601,45 - 54 years,2019,562
133,1111601,55 - 64 years,1989,2490
134,1111601,55 - 64 years,1999,1770
135,1111601,55 - 64 years,2009,1113
136,1111601,55 - 64 years,2019,844
137,1111601,65 and more years,1989,2791
138,1111601,65 and more years,1999,2428
139,1111601,65 and more years,2009,2099
140,1111601,65 and more years,2019,1879
141,111160101,Total,1989,268
142,111160101,Total,1999,135
143,111160101,Total,2009,95
144,111160101,Total,2019,94
145,111160101,16 - 24 years,1989,72
146,111160101,16 - 24 years,1999,34
147,111160101,16 - 24 years,2009,19
148,111160101,16 - 24 years,2019,16
149,111160101,25 - 34 years,1989,27
150,111160101,25 - 34 years,1999,14
151,111160101,25 - 34 years,2009,4
152,111160101,25 - 34 years,2019,3
153,111160101,35 - 44 years,1989,32
154,111160101,35 - 44 years,1999,15
155,111160101,35 - 44 years,2009,12
156,111160101,35 - 44 years,2019,7
157,111160101,45 - 54 years,1989,35
158,111160101,45 - 54 years,1999,22
159,111160101,45 - 54 years,2009,12
160,111160101,45 - 54 years,2019,14
161,111160101,55 - 64 years,1989,53
162,111160101,55 - 64 years,1999,25
163,111160101,55 - 64 years,2009,22
164,111160101,55 - 64 years,2019,14
165,111160101,65 and more years,1989,49
166,111160101,65 and more years,1999,25
167,111160101,65 and more years,2009,26
168,111160101,65 and more years,2019,40
169,111160102,Total,1989,316
170,111160102,Total,1999,174
171,111160102,Total,2009,117
172,111160102,Total,2019,99
173,111160102,16 - 24 years,1989,126
174,111160102,16 - 24 years,1999,44
175,111160102,16 - 24 years,2009,20
176,111160102,16 - 24 years,2019,2
177,111160102,25 - 34 years,1989,35
178,111160102,25 - 34 years,1999,16
179,111160102,25 - 34 years,2009,11
180,111160102,25 - 34 years,2019,1
181,111160102,35 - 44 years,1989,34
182,111160102,35 - 44 years,1999,10
183,111160102,35 - 44 years,2009,4
184,111160102,35 - 44 years,2019,9
185,111160102,45 - 54 years,1989,39
186,111160102,45 - 54 years,1999,34
187,111160102,45 - 54 years,2009,19
188,111160102,45 - 54 years,2019,6
189,111160102,55 - 64 years,1989,50
190,111160102,55 - 64 years,1999,30
191,111160102,55 - 64 years,2009,28
192,111160102,55 - 64 years,2019,22
193,111160102,65 and more years,1989,32
194,111160102,65 and more years,1999,40
195,111160102,65 and more years,2009,35
196,111160102,65 and more years,2019,59
197,111160104,Total,1989,141
198,111160104,Total,1999,104
199,111160104,Total,2009,78
200,111160104,Total,2019,68
201,111160104,16 - 24 years,1989,46
202,111160104,16 - 24 years,1999,29
203,111160104,16 - 24 years,2009,16
204,111160104,16 - 24 years,2019,10
205,111160104,25 - 34 years,1989,18
206,111160104,25 - 34 years,1999,6
207,111160104,25 - 34 years,2009,8
208,111160104,25 - 34 years,2019,2
209,111160104,35 - 44 years,1989,11
210,111160104,35 - 44 years,1999,17
211,111160104,35 - 44 years,2009,5
212,111160104,35 - 44 years,2019,9
213,111160104,45 - 54 years,1989,16
214,111160104,45 - 54 years,1999,12
215,111160104,45 - 54 years,2009,13
216,111160104,45 - 54 years,2019,9
217,111160104,55 - 64 years,1989,21
218,111160104,55 - 64 years,1999,17
219,111160104,55 - 64 years,2009,10
220,111160104,55 - 64 years,2019,13
221,111160104,65 and more years,1989,29
222,111160104,65 and more years,1999,23
223,111160104,65 and more years,2009,26
224,111160104,65 and more years,2019,25
225,111160105,Total,1989,295
226,111160105,Total,1999,159
227,111160105,Total,2009,65
228,111160105,Total,2019,63
229,111160105,16 - 24 years,1989,72
230,111160105,16 - 24 years,1999,27
231,111160105,16 - 24 years,2009,7
232,111160105,16 - 24 years,2019,1
233,111160105,25 - 34 years,1989,20
234,111160105,25 - 34 years,1999,4
235,111160105,25 - 34 years,2009,2
236,111160105,25 - 34 years,2019,1
237,111160105,35 - 44 years,1989,33
238,111160105,35 - 44 years,1999,12
239,111160105,35 - 44 years,2009,1
240,111160105,35 - 44 years,2019,3
241,111160105,45 - 54 years,1989,51
242,111160105,45 - 54 years,1999,17
243,111160105,45 - 54 years,2009,6
244,111160105,45 - 54 years,2019,2
245,111160105,55 - 64 years,1989,56
246,111160105,55 - 64 years,1999,44
247,111160105,55 - 64 years,2009,13
248,111160105,55 - 64 years,2019,9
249,111160105,65 and more years,1989,63
250,111160105,65 and more years,1999,55
251,111160105,65 and more years,2009,36
252,111160105,65 and more years,2019,47
253,111160106,Total,1989,693
254,111160106,Total,1999,319
255,111160106,Total,2009,268
256,111160106,Total,2019,204
257,111160106,16 - 24 years,1989,190
258,111160106,16 - 24 years,1999,28
259,111160106,16 - 24 years,2009,32
260,111160106,16 - 24 years,2019,32
261,111160106,25 - 34 years,1989,45
262,111160106,25 - 34 years,1999,26
263,111160106,25 - 34 years,2009,13
264,111160106,25 - 34 years,2019,15
265,111160106,35 - 44 years,1989,73
266,111160106,35 - 44 years,1999,20
