primary_key,codes,Temp_crop,year,area_ha
1,PT,Total,1989,1895293
2,PT,Total,1999,1399335
3,PT,Total,2009,948470
4,PT,Total,2019,888384
5,1,Total,1989,1869929
6,1,Total,1999,1378415
7,1,Total,2009,923537
8,1,Total,2019,843477
9,11,Total,1989,534051
10,11,Total,1999,316950
11,11,Total,2009,206068
12,11,Total,2019,151107
13,111,Total,1989,69228
14,111,Total,1999,30959
15,111,Total,2009,19731
16,111,Total,2019,11226
17,1111601,Total,1989,10966
18,1111601,Total,1999,4431
19,1111601,Total,2009,2651
20,1111601,Total,2019,962
21,111160101,Total,1989,194
22,111160101,Total,1999,55
23,111160101,Total,2009,41
24,111160101,Total,2019,12
25,111160102,Total,1989,122
26,111160102,Total,1999,84
27,111160102,Total,2009,76
28,111160102,Total,2019,20
29,111160104,Total,1989,191
30,111160104,Total,1999,73
31,111160104,Total,2009,45
32,111160104,Total,2019,9
33,111160105,Total,1989,162
34,111160105,Total,1999,71
35,111160105,Total,2009,5
36,111160105,Total,2019,1
37,111160106,Total,1989,570
38,111160106,Total,1999,163
39,111160106,Total,2009,91
40,111160106,Total,2019,40
41,111160108,Total,1989,197
42,111160108,Total,1999,72
43,111160108,Total,2009,53
44,111160108,Total,2019,10
45,111160109,Total,1989,241
46,111160109,Total,1999,71
47,111160109,Total,2009,43
48,111160109,Total,2019,8
49,111160113,Total,1989,303
50,111160113,Total,1999,55
51,111160113,Total,2009,28
52,111160113,Total,2019,25
53,111160115,Total,1989,419
54,111160115,Total,1999,248
55,111160115,Total,2009,152
56,111160115,Total,2019,48
57,111160142,Total,1989,202
58,111160142,Total,1999,78
59,111160142,Total,2009,47
60,111160142,Total,2019,8
61,111160121,Total,1989,373
62,111160121,Total,1999,49
63,111160121,Total,2009,92
64,111160121,Total,2019,12
65,111160122,Total,1989,260
66,111160122,Total,1999,113
67,111160122,Total,2009,50
68,111160122,Total,2019,5
69,111160123,Total,1989,150
70,111160123,Total,1999,77
71,111160123,Total,2009,59
72,111160123,Total,2019,18
73,111160124,Total,1989,197
74,111160124,Total,1999,70
75,111160124,Total,2009,47
76,111160124,Total,2019,23
77,111160125,Total,1989,148
78,111160125,Total,1999,79
79,111160125,Total,2009,63
80,111160125,Total,2019,110
81,111160128,Total,1989,333
82,111160128,Total,1999,128
83,111160128,Total,2009,64
84,111160128,Total,2019,26
85,111160131,Total,1989,265
86,111160131,Total,1999,131
87,111160131,Total,2009,95
88,111160131,Total,2019,20
89,111160130,Total,1989,558
90,111160130,Total,1999,230
91,111160130,Total,2009,200
92,111160130,Total,2019,26
93,111160133,Total,1989,266
94,111160133,Total,1999,185
95,111160133,Total,2009,84
96,111160133,Total,2019,21
97,111160144,Total,1989,212
98,111160144,Total,1999,147
99,111160144,Total,2009,89
100,111160144,Total,2019,24
101,111160145,Total,1989,328
102,111160145,Total,1999,103
103,111160145,Total,2009,45
104,111160145,Total,2019,33
105,111160146,Total,1989,478
106,111160146,Total,1999,78
107,111160146,Total,2009,39
108,111160146,Total,2019,9
109,111160152,Total,1989,324
110,111160152,Total,1999,147
111,111160152,Total,2009,67
112,111160152,Total,2019,28
113,111160154,Total,1989,160
114,111160154,Total,1999,70
115,111160154,Total,2009,31
116,111160154,Total,2019,39
117,111160153,Total,1989,261
118,111160153,Total,1999,89
119,111160153,Total,2009,54
120,111160153,Total,2019,28
121,111160155,Total,1989,314
122,111160155,Total,1999,151
123,111160155,Total,2009,76
124,111160155,Total,2019,32
125,111160156,Total,1989,311
126,111160156,Total,1999,203
127,111160156,Total,2009,94
128,111160156,Total,2019,21
129,111160157,Total,1989,325
130,111160157,Total,1999,140
131,111160157,Total,2009,64
132,111160157,Total,2019,34
133,111160158,Total,1989,367
134,111160158,Total,1999,153
135,111160158,Total,2009,88
136,111160158,Total,2019,29
137,111160159,Total,1989,261
138,111160159,Total,1999,75
139,111160159,Total,2009,32
140,111160159,Total,2019,55
141,111160160,Total,1989,227
142,111160160,Total,1999,101
143,111160160,Total,2009,65
144,111160160,Total,2019,9
145,111160161,Total,1989,535
146,111160161,Total,1999,140
147,111160161,Total,2009,109
148,111160161,Total,2019,26
149,111160162,Total,1989,227
150,111160162,Total,1999,174
151,111160162,Total,2009,92
152,111160162,Total,2019,33
153,111160163,Total,1989,544
154,111160163,Total,1999,231
155,111160163,Total,2009,122
156,111160163,Total,2019,56
157,111160164,Total,1989,400
158,111160164,Total,1999,221
159,111160164,Total,2009,105
160,111160164,Total,2019,30
161,111160149,Total,1989,541
162,111160149,Total,1999,176
163,111160149,Total,2009,145
164,111160149,Total,2019,36
165,1111602,Total,1989,2635
166,1111602,Total,1999,875
167,1111602,Total,2009,613
168,1111602,Total,2019,300
169,111160201,Total,1989,340
170,111160201,Total,1999,68
171,111160201,Total,2009,22
172,111160201,Total,2019,20
173,111160205,Total,1989,187
174,111160205,Total,1999,86
175,111160205,Total,2009,50
176,111160205,Total,2019,13
177,111160209,Total,1989,156
178,111160209,Total,1999,58
179,111160209,Total,2009,31
180,111160209,Total,2019,11
181,111160211,Total,1989,47
182,111160211,Total,1999,20
183,111160211,Total,2009,8
184,111160211,Total,2019,5
185,111160214,Total,1989,351
186,111160214,Total,1999,107
187,111160214,Total,2009,72
188,111160214,Total,2019,37
189,111160215,Total,1989,33
190,111160215,Total,1999,17
191,111160215,Total,2009,9
192,111160215,Total,2019,3
193,111160221,Total,1989,310
194,111160221,Total,1999,64
195,111160221,Total,2009,38
196,111160221,Total,2019,26
197,111160222,Total,1989,93
198,111160222,Total,1999,39
199,111160222,Total,2009,25
200,111160222,Total,2019,19
201,111160223,Total,1989,297
202,111160223,Total,1999,80
203,111160223,Total,2009,114
204,111160223,Total,2019,29
205,111160224,Total,1989,101
206,111160224,Total,1999,34
207,111160224,Total,2009,22
208,111160224,Total,2019,26
209,111160225,Total,1989,301
210,111160225,Total,1999,126
211,111160225,Total,2009,97
212,111160225,Total,2019,30
213,111160217,Total,1989,106
214,111160217,Total,1999,46
215,111160217,Total,2009,36
216,111160217,Total,2019,16
217,111160218,Total,1989,175
218,111160218,Total,1999,90
219,111160218,Total,2009,76
220,111160218,Total,2019,32
221,111160220,Total,1989,138
222,111160220,Total,1999,40
223,111160220,Total,2009,11
224,111160220,Total,2019,33
225,1111603,Total,1989,3498
226,1111603,Total,1999,915
227,1111603,Total,2009,395
228,1111603,Total,2019,96
229,111160301,Total,1989,147
230,111160301,Total,1999,69
231,111160301,Total,2009,26
232,111160301,Total,2019,5
233,111160304,Total,1989,113
234,111160304,Total,1999,79
235,111160304,Total,2009,23
236,111160304,Total,2019,9
237,111160305,Total,1989,242
238,111160305,Total,1999,39
239,111160305,Total,2009,20
240,111160305,Total,2019,3
241,111160307,Total,1989,238
242,111160307,Total,1999,47
243,111160307,Total,2009,9
244,111160307,Total,2019,7
245,111160308,Total,1989,183
246,111160308,Total,1999,48
