primary_key,Codes,year,value€
1,PT,1999,"11108,5"
2,PT,2009,15199
3,PT,2019,"23286,3"
4,1,1999,"11053,8"
5,1,2009,"15131,6"
6,1,2019,"23407,3"
7,11,1999,"8024,8"
8,11,2009,"8369,5"
9,11,2019,11957
10,111,1999,"5490,3"
11,111,2009,"5405,8"
12,111,2019,"7324,5"
13,1111601,1999,"3932,9"
14,1111601,2009,"4126,1"
15,1111601,2019,5925
16,111160101,1999,4059
17,111160101,2009,"3102,1"
18,111160101,2019,"2972,7"
19,111160102,1999,"3013,7"
20,111160102,2009,"3297,8"
21,111160102,2019,2954
22,111160104,1999,"4042,9"
23,111160104,2009,"3634,1"
24,111160104,2019,"4520,4"
25,111160105,1999,"5185,3"
26,111160105,2009,6070
27,111160105,2019,"5120,3"
28,111160106,1999,"4615,4"
29,111160106,2009,"4631,6"
30,111160106,2019,"6444,6"
31,111160108,1999,"2738,2"
32,111160108,2009,"2488,8"
33,111160108,2019,"3204,3"
34,111160109,1999,"2383,1"
35,111160109,2009,"2400,4"
36,111160109,2019,"3473,9"
37,111160113,1999,"4897,1"
38,111160113,2009,"6708,4"
39,111160113,2019,"11272,6"
40,111160115,1999,"3923,7"
41,111160115,2009,"5516,5"
42,111160115,2019,"6850,6"
43,111160142,1999,"4586,4"
44,111160142,2009,"3079,4"
45,111160142,2019,"5586,3"
46,111160121,1999,"2003,9"
47,111160121,2009,3496
48,111160121,2019,"3435,4"
49,111160122,1999,"3083,9"
50,111160122,2009,"3192,5"
51,111160122,2019,"3295,2"
52,111160123,1999,"5681,9"
53,111160123,2009,"4516,3"
54,111160123,2019,"7370,4"
55,111160124,1999,"24059,2"
56,111160124,2009,"18406,1"
57,111160124,2019,9024
58,111160125,1999,"3869,8"
59,111160125,2009,"3045,3"
60,111160125,2019,"29517,1"
61,111160128,1999,"2690,3"
62,111160128,2009,"2852,6"
63,111160128,2019,"2845,5"
64,111160131,1999,2577
65,111160131,2009,"2899,3"
66,111160131,2019,2993
67,111160130,1999,"2834,2"
68,111160130,2009,"3212,1"
69,111160130,2019,"3491,4"
70,111160133,1999,"2932,6"
71,111160133,2009,2745
72,111160133,2019,"3364,7"
73,111160144,1999,"3155,8"
74,111160144,2009,"3378,7"
75,111160144,2019,"4274,7"
76,111160145,1999,"4028,1"
77,111160145,2009,"6799,2"
78,111160145,2019,9540
79,111160146,1999,"3434,9"
80,111160146,2009,"4811,5"
81,111160146,2019,"7416,1"
82,111160152,1999,"3262,8"
83,111160152,2009,"3178,7"
84,111160152,2019,"6881,9"
85,111160154,1999,"11655,8"
86,111160154,2009,"2641,5"
87,111160154,2019,4222
88,111160153,1999,"4050,6"
89,111160153,2009,"5383,8"
90,111160153,2019,"6770,5"
91,111160155,1999,"3207,3"
92,111160155,2009,"2622,2"
93,111160155,2019,"3251,6"
94,111160156,1999,"2816,1"
95,111160156,2009,"3513,7"
96,111160156,2019,"7488,2"
97,111160157,1999,3241
98,111160157,2009,"3563,6"
99,111160157,2019,"6467,2"
100,111160158,1999,"4522,7"
101,111160158,2009,"2873,5"
102,111160158,2019,"5346,1"
103,111160159,1999,"3534,4"
104,111160159,2009,"4541,7"
105,111160159,2019,"5601,2"
106,111160160,1999,"4120,4"
107,111160160,2009,"2157,8"
108,111160160,2019,"2920,8"
109,111160161,1999,"3311,7"
110,111160161,2009,"3850,7"
111,111160161,2019,"7801,1"
112,111160162,1999,"3462,2"
113,111160162,2009,"3508,1"
114,111160162,2019,"4265,1"
115,111160163,1999,"4813,7"
116,111160163,2009,"2952,6"
117,111160163,2019,3461
118,111160164,1999,"3973,4"
119,111160164,2009,"3959,8"
120,111160164,2019,5682
121,111160149,1999,"3167,5"
122,111160149,2009,"4199,2"
123,111160149,2019,"4655,1"
124,1111602,1999,"7140,2"
125,1111602,2009,7235
126,1111602,2019,"8921,5"
127,111160201,1999,"5597,3"
128,111160201,2009,"3221,3"
129,111160201,2019,"5989,5"
130,111160205,1999,"6909,1"
131,111160205,2009,"3573,6"
132,111160205,2019,"2979,8"
133,111160209,1999,"4136,7"
134,111160209,2009,"2710,8"
135,111160209,2019,"3634,9"
136,111160211,1999,"4051,5"
137,111160211,2009,"4133,6"
138,111160211,2019,"4652,7"
139,111160214,1999,"7056,3"
140,111160214,2009,"28074,3"
141,111160214,2019,"6406,4"
142,111160215,1999,"7741,1"
143,111160215,2009,"8063,9"
144,111160215,2019,"3956,9"
145,111160221,1999,"6528,2"
146,111160221,2009,"3951,7"
147,111160221,2019,"5436,3"
148,111160222,1999,10039
149,111160222,2009,"4254,8"
150,111160222,2019,"4372,1"
151,111160223,1999,"4071,8"
152,111160223,2009,"2316,2"
153,111160223,2019,"3478,2"
154,111160224,1999,3645
155,111160224,2009,"4302,5"
156,111160224,2019,"4159,7"
157,111160225,1999,5663
158,111160225,2009,"3366,6"
159,111160225,2019,4017
160,111160217,1999,"12610,2"
161,111160217,2009,"14965,4"
162,111160217,2019,"14685,4"
163,111160218,1999,"18089,4"
164,111160218,2009,"11562,4"
165,111160218,2019,"4940,2"
166,111160220,1999,"8280,8"
167,111160220,2009,"7849,7"
168,111160220,2019,"79821,6"
169,1111603,1999,"3178,1"
170,1111603,2009,"3610,1"
171,1111603,2019,"5341,5"
172,111160301,1999,"3697,8"
173,111160301,2009,"3733,8"
174,111160301,2019,"4667,9"
175,111160304,1999,"2373,2"
176,111160304,2009,"2794,5"
177,111160304,2019,"5183,7"
178,111160305,1999,"2873,6"
179,111160305,2009,2700
180,111160305,2019,"4020,3"
181,111160307,1999,"3413,3"
182,111160307,2009,"3186,8"
183,111160307,2019,"7655,8"
184,111160308,1999,"2789,5"
185,111160308,2009,"2217,5"
186,111160308,2019,"10817,1"
187,111160311,1999,"3661,6"
188,111160311,2009,"3097,6"
189,111160311,2019,"4490,6"
190,111160313,1999,"3257,3"
191,111160313,2009,"3311,8"
192,111160313,2019,"4466,8"
193,111160317,1999,"2744,9"
194,111160317,2009,"2462,8"
195,111160317,2019,"4217,6"
196,111160319,1999,"3239,7"
197,111160319,2009,6395
198,111160319,2019,"9255,6"
199,111160320,1999,"2913,4"
200,111160320,2009,"3235,2"
201,111160320,2019,"5169,9"
202,111160321,1999,"3293,5"
203,111160321,2009,"4445,9"
204,111160321,2019,"4774,8"
205,111160322,1999,"3523,2"
206,111160322,2009,"2551,1"
207,111160322,2019,4206
208,111160323,1999,"2561,5"
209,111160323,2009,"2606,9"
210,111160323,2019,"3570,9"
211,1111604,1999,"3812,9"
212,1111604,2009,"3382,6"
213,1111604,2019,"5511,7"
214,111160401,1999,"3013,3"
215,111160401,2009,"2855,9"
216,111160401,2019,"3665,2"
217,111160404,1999,"3294,8"
218,111160404,2009,"2967,2"
219,111160404,2019,"4334,7"
220,111160405,1999,"3031,2"
221,111160405,2009,2743
222,111160405,2019,"2720,4"
223,111160406,1999,"3003,1"
224,111160406,2009,"2645,6"
225,111160406,2019,"4983,7"
226,111160407,1999,"2978,7"
227,111160407,2009,"3395,3"
228,111160407,2019,"7175,8"
229,111160410,1999,"4402,3"
230,111160410,2009,3636
231,111160410,2019,"4250,9"
232,111160411,1999,"3391,7"
233,111160411,2009,"3209,1"
234,111160411,2019,6206
235,111160415,1999,"3951,4"
236,111160415,2009,"3478,6"
237,111160415,2019,4987
238,111160418,1999,"4171,6"
239,111160418,2009,"3833,4"
240,111160418,2019,"8143,4"
241,111160420,1999,"4412,7"
242,111160420,2009,"3633,9"
243,111160420,2019,"6616,8"
244,111160421,1999,"7433,7"
245,111160421,2009,"4137,1"
246,111160421,2019,"5375,6"
247,111160422,1999,"2418,5"
248,111160422,2009,2071
249,111160422,2019,"4754,6"
250,111160423,1999,"3858,7"
251,111160423,2009,"2228,4"
252,111160423,2019,"4957,5"
253,111160424,1999,"2414,1"
254,111160424,2009,"3738,1"
255,111160424,2019,4037
256,111160427,1999,"4079,7"
257,111160427,2009,"3028,1"
258,111160427,2019,"4663,4"
259,111160428,1999,"2604,4"
260,111160428,2009,2654
261,111160428,2019,"4697,9"
262,111160431,1999,"3335,3"
263,111160431,2009,"2767,1"
264,111160431,2019,"4005,7"
265,111160434,1999,"3671,8"
266,111160434,2009,3197
267,111160434,2019,"4306,2"
268,111160435,1999,"5571,3"
269,111160435,2009,"3433,9"
270,111160435,2019,"4660,4"
271,111160436,1999,"4677,2"
272,111160436,2009,"3683,8"
273,111160436,2019,"6516,1"
274,111160437,1999,"4579,7"
275,111160437,2009,"3613,4"
276,111160437,2019,"4979,8"
277,111160438,1999,"7201,8"
278,111160438,2009,"6776,4"
279,111160438,2019,"9440,1"
280,111160439,1999,"3121,8"
281,111160439,2009,3362
282,111160439,2019,"8202,5"
283,111160440,1999,"2629,7"
284,111160440,2009,"2422,6"
285,111160440,2019,"3259,4"
286,1111605,1999,"7327,5"
287,1111605,2009,"5624,8"
288,1111605,2019,"7304,9"
289,111160501,1999,"4427,9"
290,111160501,2009,"2712,9"
291,111160501,2019,"3008,4"
292,111160503,1999,"5032,4"
293,111160503,2009,"3857,2"
294,111160503,2019,"3043,5"
295,111160505,1999,"2975,9"
296,111160505,2009,"2297,8"
297,111160505,2019,4315
298,111160507,1999,"4432,6"
299,111160507,2009,"4456,4"
300,111160507,2019,"5396,9"
301,111160510,1999,4883
302,111160510,2009,"3155,7"
303,111160510,2019,"4298,9"
304,111160513,1999,"4916,7"
305,111160513,2009,"25901,6"
306,111160513,2019,"6968,5"
307,111160514,1999,5060
308,111160514,2009,"3256,7"
309,111160514,2019,"4237,6"
310,111160515,1999,5263
311,111160515,2009,"8019,7"
312,111160515,2019,"4815,2"
313,111160519,1999,"47681,5"
314,111160519,2009,17959
315,111160519,2019,70629
316,111160520,1999,"5836,3"
317,111160520,2009,"2913,9"
318,111160520,2019,"3847,8"
319,111160522,1999,"4705,5"
320,111160522,2009,"4342,7"
321,111160522,2019,"8322,7"
