primary_key,codes,year_,avr_value_per_ha
1,PT,1999,"1196,1"
2,PT,2009,"1264,9"
3,PT,2019,1705
4,1,1999,"1130,7"
5,1,2009,1188
6,1,2019,"1622,2"
7,11,1999,"1638,8"
8,11,2009,"1440,4"
9,11,2019,"1978,7"
10,111,1999,"1345,7"
11,111,2009,"955,1"
12,111,2019,"1153,9"
13,1111601,1999,"726,7"
14,1111601,2009,487
15,1111601,2019,"551,5"
16,111160101,1999,2101
17,111160101,2009,"1118,5"
18,111160101,2019,"1921,9"
19,111160102,1999,1059
20,111160102,2009,1227
21,111160102,2019,"1642,8"
22,111160104,1999,"2133,5"
23,111160104,2009,"1629,6"
24,111160104,2019,"2428,6"
25,111160105,1999,"159,7"
26,111160105,2009,"102,8"
27,111160105,2019,"152,7"
28,111160106,1999,"283,7"
29,111160106,2009,"210,4"
30,111160106,2019,"221,4"
31,111160108,1999,"1675,5"
32,111160108,2009,"1259,8"
33,111160108,2019,"1292,5"
34,111160109,1999,"1638,9"
35,111160109,2009,"1227,6"
36,111160109,2019,"2053,3"
37,111160113,1999,"637,9"
38,111160113,2009,"1808,4"
39,111160113,2019,"444,4"
40,111160115,1999,"675,3"
41,111160115,2009,"535,4"
42,111160115,2019,"618,5"
43,111160142,1999,"2303,5"
44,111160142,2009,"1422,7"
45,111160142,2019,"2473,7"
46,111160121,1999,"878,3"
47,111160121,2009,"566,9"
48,111160121,2019,"565,7"
49,111160122,1999,"1796,5"
50,111160122,2009,"1477,4"
51,111160122,2019,"1679,5"
52,111160123,1999,"4135,4"
53,111160123,2009,"2148,1"
54,111160123,2019,"2887,1"
55,111160124,1999,"7371,7"
56,111160124,2009,"6195,5"
57,111160124,2019,"2633,9"
58,111160125,1999,"1349,7"
59,111160125,2009,"485,5"
60,111160125,2019,"1811,2"
61,111160128,1999,"1884,5"
62,111160128,2009,"1352,9"
63,111160128,2019,"1384,4"
64,111160131,1999,1650
65,111160131,2009,"919,2"
66,111160131,2019,"1467,9"
67,111160130,1999,"700,3"
68,111160130,2009,"861,9"
69,111160130,2019,606
70,111160133,1999,"1315,5"
71,111160133,2009,"627,7"
72,111160133,2019,"1054,1"
73,111160144,1999,842
74,111160144,2009,"799,8"
75,111160144,2019,"1489,6"
76,111160145,1999,"326,3"
77,111160145,2009,"180,4"
78,111160145,2019,"300,9"
79,111160146,1999,272
80,111160146,2009,"167,8"
81,111160146,2019,"238,8"
82,111160152,1999,"655,9"
83,111160152,2009,"384,7"
84,111160152,2019,405
85,111160154,1999,"5485,4"
86,111160154,2009,"886,2"
87,111160154,2019,"1476,9"
88,111160153,1999,"1666,9"
89,111160153,2009,"1673,1"
90,111160153,2019,"2034,7"
91,111160155,1999,"1049,1"
92,111160155,2009,"779,6"
93,111160155,2019,"659,3"
94,111160156,1999,"1267,9"
95,111160156,2009,"1639,9"
96,111160156,2019,"939,3"
97,111160157,1999,"1884,4"
98,111160157,2009,2004
99,111160157,2019,"3093,5"
100,111160158,1999,"2031,3"
101,111160158,2009,"1428,5"
102,111160158,2019,"2040,9"
103,111160159,1999,"1111,5"
104,111160159,2009,"1120,7"
105,111160159,2019,"1559,3"
106,111160160,1999,"1654,5"
107,111160160,2009,"533,3"
108,111160160,2019,"744,8"
109,111160161,1999,"462,9"
110,111160161,2009,"320,8"
111,111160161,2019,"282,3"
112,111160162,1999,"1804,3"
113,111160162,2009,"1696,3"
114,111160162,2019,"1646,2"
115,111160163,1999,"2150,4"
116,111160163,2009,"1463,6"
117,111160163,2019,"1896,1"
118,111160164,1999,"1235,6"
119,111160164,2009,"1083,6"
120,111160164,2019,1501
121,111160149,1999,"905,3"
122,111160149,2009,"746,4"
123,111160149,2019,"795,5"
124,1111602,1999,"1736,9"
125,1111602,2009,879
126,1111602,2019,"1058,6"
127,111160201,1999,"2656,4"
128,111160201,2009,"484,5"
129,111160201,2019,"4188,5"
130,111160205,1999,3606
131,111160205,2009,"243,6"
132,111160205,2019,"1151,9"
133,111160209,1999,"1955,8"
134,111160209,2009,200
135,111160209,2019,"544,6"
136,111160211,1999,"3129,8"
137,111160211,2009,1979
138,111160211,2019,"351,9"
139,111160214,1999,"4132,2"
140,111160214,2009,"18219,1"
141,111160214,2019,"1712,3"
142,111160215,1999,"3047,7"
143,111160215,2009,"2284,4"
144,111160215,2019,"2157,5"
145,111160221,1999,"360,9"
146,111160221,2009,"187,9"
147,111160221,2019,262
148,111160222,1999,"4229,2"
149,111160222,2009,"2157,8"
150,111160222,2019,"2077,4"
151,111160223,1999,1447
152,111160223,2009,"484,2"
153,111160223,2019,513
154,111160224,1999,"2379,1"
155,111160224,2009,2424
156,111160224,2019,"421,9"
157,111160225,1999,"3547,8"
158,111160225,2009,"363,7"
159,111160225,2019,"396,4"
160,111160217,1999,8071
161,111160217,2009,3360
162,111160217,2019,"911,2"
163,111160218,1999,"10794,8"
164,111160218,2009,"1328,2"
165,111160218,2019,"1471,5"
166,111160220,1999,"3659,4"
167,111160220,2009,"4912,2"
168,111160220,2019,"26160,3"
169,1111603,1999,"684,4"
170,1111603,2009,"232,7"
171,1111603,2019,"494,9"
172,111160301,1999,"2919,4"
173,111160301,2009,"2659,6"
174,111160301,2019,"2869,3"
175,111160304,1999,"780,9"
176,111160304,2009,"225,5"
177,111160304,2019,"604,8"
178,111160305,1999,"2047,3"
179,111160305,2009,"491,8"
180,111160305,2019,"787,8"
181,111160307,1999,"399,3"
182,111160307,2009,"220,1"
183,111160307,2019,"536,2"
184,111160308,1999,"331,9"
185,111160308,2009,"483,2"
186,111160308,2019,"234,8"
187,111160311,1999,"2215,4"
188,111160311,2009,"1470,9"
189,111160311,2019,"2941,1"
190,111160313,1999,"2292,4"
191,111160313,2009,"576,9"
192,111160313,2019,"1252,9"
193,111160317,1999,715
194,111160317,2009,"1833,7"
195,111160317,2019,"701,6"
196,111160319,1999,"343,9"
197,111160319,2009,"97,1"
198,111160319,2019,"222,1"
199,111160320,1999,"2239,3"
200,111160320,2009,"306,4"
201,111160320,2019,"1503,6"
202,111160321,1999,"341,8"
203,111160321,2009,"158,9"
204,111160321,2019,"230,8"
205,111160322,1999,"2750,4"
206,111160322,2009,"1982,1"
207,111160322,2019,"3414,4"
208,111160323,1999,"1676,7"
209,111160323,2009,"2367,7"
210,111160323,2019,"1907,1"
211,1111604,1999,"1200,4"
212,1111604,2009,"1014,1"
213,1111604,2019,"1577,4"
214,111160401,1999,"1061,4"
215,111160401,2009,"298,5"
216,111160401,2019,"810,9"
217,111160404,1999,"2662,3"
