primary_key,codes,relationship,year,No
1,PT,Total,1989,1974808
2,PT,Total,1999,1236214
3,PT,Total,2009,793169
4,PT,Total,2019,665571
5,PT,Sole holder,1989,593590
6,PT,Sole holder,1999,409308
7,PT,Sole holder,2009,297381
8,PT,Sole holder,2019,274248
9,PT,Spouse,1989,493879
10,PT,Spouse,1999,332943
11,PT,Spouse,2009,228751
12,PT,Spouse,2019,193219
13,PT,Other family members,1989,887339
14,PT,Other family members,1999,493963
15,PT,Other family members,2009,267037
16,PT,Other family members,2019,198104
17,1,Total,1989,1799736
18,1,Total,1999,1123418
19,1,Total,2009,709928
20,1,Total,2019,599497
21,1,Sole holder,1989,546069
22,1,Sole holder,1999,375938
23,1,Sole holder,2009,270507
24,1,Sole holder,2019,250615
25,1,Spouse,1989,457640
26,1,Spouse,1999,308165
27,1,Spouse,2009,208981
28,1,Spouse,2019,176475
29,1,Other family members,1989,796027
30,1,Other family members,1999,439315
31,1,Other family members,2009,230440
32,1,Other family members,2019,172407
33,11,Total,1989,722991
34,11,Total,1999,445403
35,11,Total,2009,302117
36,11,Total,2019,257718
37,11,Sole holder,1989,191025
38,11,Sole holder,1999,135688
39,11,Sole holder,2009,108912
40,11,Sole holder,2019,105349
41,11,Spouse,1989,157311
42,11,Spouse,1999,108800
43,11,Spouse,2009,83322
44,11,Spouse,2019,73604
45,11,Other family members,1989,374655
46,11,Other family members,1999,200915
47,11,Other family members,2009,109883
48,11,Other family members,2019,78765
49,111,Total,1989,108018
50,111,Total,1999,57799
51,111,Total,2009,37989
52,111,Total,2019,28806
53,111,Sole holder,1989,28419
54,111,Sole holder,1999,16511
55,111,Sole holder,2009,12495
56,111,Sole holder,2019,10734
57,111,Spouse,1989,22720
58,111,Spouse,1999,13018
59,111,Spouse,2009,9614
60,111,Spouse,2019,7761
61,111,Other family members,1989,56879
62,111,Other family members,1999,28270
63,111,Other family members,2009,15880
64,111,Other family members,2019,10311
65,1111601,Total,1989,15182
66,1111601,Total,1999,9005
67,1111601,Total,2009,5859
68,1111601,Total,2019,4512
69,1111601,Sole holder,1989,4515
70,1111601,Sole holder,1999,3037
71,1111601,Sole holder,2009,2140
72,1111601,Sole holder,2019,1886
73,1111601,Spouse,1989,3628
74,1111601,Spouse,1999,2321
75,1111601,Spouse,2009,1602
76,1111601,Spouse,2019,1317
77,1111601,Other family members,1989,7039
78,1111601,Other family members,1999,3647
79,1111601,Other family members,2009,2117
80,1111601,Other family members,2019,1309
81,111160101,Total,1989,268
82,111160101,Total,1999,135
83,111160101,Total,2009,95
84,111160101,Total,2019,94
85,111160101,Sole holder,1989,84
86,111160101,Sole holder,1999,40
87,111160101,Sole holder,2009,32
88,111160101,Sole holder,2019,33
89,111160101,Spouse,1989,69
90,111160101,Spouse,1999,33
91,111160101,Spouse,2009,27
92,111160101,Spouse,2019,30
93,111160101,Other family members,1989,115
94,111160101,Other family members,1999,62
95,111160101,Other family members,2009,36
96,111160101,Other family members,2019,31
97,111160102,Total,1989,316
98,111160102,Total,1999,174
99,111160102,Total,2009,117
100,111160102,Total,2019,99
101,111160102,Sole holder,1989,81
102,111160102,Sole holder,1999,55
103,111160102,Sole holder,2009,42
104,111160102,Sole holder,2019,51
105,111160102,Spouse,1989,73
106,111160102,Spouse,1999,47
107,111160102,Spouse,2009,33
108,111160102,Spouse,2019,35
109,111160102,Other family members,1989,162
110,111160102,Other family members,1999,72
111,111160102,Other family members,2009,42
112,111160102,Other family members,2019,13
113,111160104,Total,1989,141
114,111160104,Total,1999,104
115,111160104,Total,2009,78
116,111160104,Total,2019,68
117,111160104,Sole holder,1989,39
118,111160104,Sole holder,1999,30
119,111160104,Sole holder,2009,25
120,111160104,Sole holder,2019,31
121,111160104,Spouse,1989,35
122,111160104,Spouse,1999,28
123,111160104,Spouse,2009,18
124,111160104,Spouse,2019,21
125,111160104,Other family members,1989,67
126,111160104,Other family members,1999,46
127,111160104,Other family members,2009,35
128,111160104,Other family members,2019,16
129,111160105,Total,1989,295
130,111160105,Total,1999,159
131,111160105,Total,2009,65
132,111160105,Total,2019,63
133,111160105,Sole holder,1989,96
134,111160105,Sole holder,1999,65
135,111160105,Sole holder,2009,26
136,111160105,Sole holder,2019,36
137,111160105,Spouse,1989,76
138,111160105,Spouse,1999,41
139,111160105,Spouse,2009,17
140,111160105,Spouse,2019,19
141,111160105,Other family members,1989,123
142,111160105,Other family members,1999,53
143,111160105,Other family members,2009,22
144,111160105,Other family members,2019,8
145,111160106,Total,1989,693
146,111160106,Total,1999,319
147,111160106,Total,2009,268
148,111160106,Total,2019,204
149,111160106,Sole holder,1989,219
150,111160106,Sole holder,1999,134
151,111160106,Sole holder,2009,108
152,111160106,Sole holder,2019,94
153,111160106,Spouse,1989,163
154,111160106,Spouse,1999,92
155,111160106,Spouse,2009,68
156,111160106,Spouse,2019,49
157,111160106,Other family members,1989,311
158,111160106,Other family members,1999,93
159,111160106,Other family members,2009,92
160,111160106,Other family members,2019,61
161,111160108,Total,1989,281
162,111160108,Total,1999,189
163,111160108,Total,2009,110
164,111160108,Total,2019,50
165,111160108,Sole holder,1989,80
166,111160108,Sole holder,1999,56
167,111160108,Sole holder,2009,45
168,111160108,Sole holder,2019,23
169,111160108,Spouse,1989,69
170,111160108,Spouse,1999,47
171,111160108,Spouse,2009,39
172,111160108,Spouse,2019,18
173,111160108,Other family members,1989,132
174,111160108,Other family members,1999,86
175,111160108,Other family members,2009,26
176,111160108,Other family members,2019,9
177,111160109,Total,1989,313
178,111160109,Total,1999,182
179,111160109,Total,2009,74
180,111160109,Total,2019,104
181,111160109,Sole holder,1989,89
182,111160109,Sole holder,1999,63
183,111160109,Sole holder,2009,28
184,111160109,Sole holder,2019,38
185,111160109,Spouse,1989,77
186,111160109,Spouse,1999,49
187,111160109,Spouse,2009,21
188,111160109,Spouse,2019,28
189,111160109,Other family members,1989,147
190,111160109,Other family members,1999,70
191,111160109,Other family members,2009,25
192,111160109,Other family members,2019,38
193,111160113,Total,1989,435
194,111160113,Total,1999,260
195,111160113,Total,2009,237
196,111160113,Total,2019,271
197,111160113,Sole holder,1989,141
198,111160113,Sole holder,1999,92
199,111160113,Sole holder,2009,95
200,111160113,Sole holder,2019,111
201,111160113,Spouse,1989,113
202,111160113,Spouse,1999,76
203,111160113,Spouse,2009,71
204,111160113,Spouse,2019,76
205,111160113,Other family members,1989,181
206,111160113,Other family members,1999,92
207,111160113,Other family members,2009,71
208,111160113,Other family members,2019,84
209,111160115,Total,1989,723
210,111160115,Total,1999,486
211,111160115,Total,2009,317
212,111160115,Total,2019,298
213,111160115,Sole holder,1989,193
214,111160115,Sole holder,1999,158
215,111160115,Sole holder,2009,104
216,111160115,Sole holder,2019,123
217,111160115,Spouse,1989,159
218,111160115,Spouse,1999,114
219,111160115,Spouse,2009,82
220,111160115,Spouse,2019,90
221,111160115,Other family members,1989,371
222,111160115,Other family members,1999,214
223,111160115,Other family members,2009,131
224,111160115,Other family members,2019,85
225,111160142,Total,1989,282
226,111160142,Total,1999,186
227,111160142,Total,2009,94
228,111160142,Total,2019,58
229,111160142,Sole holder,1989,66
230,111160142,Sole holder,1999,45
231,111160142,Sole holder,2009,31
232,111160142,Sole holder,2019,21
233,111160142,Spouse,1989,59
234,111160142,Spouse,1999,39
235,111160142,Spouse,2009,25
236,111160142,Spouse,2019,14
237,111160142,Other family members,1989,157
238,111160142,Other family members,1999,102
239,111160142,Other family members,2009,38
240,111160142,Other family members,2019,23
241,111160121,Total,1989,469
242,111160121,Total,1999,220
243,111160121,Total,2009,151
244,111160121,Total,2019,117
245,111160121,Sole holder,1989,171
246,111160121,Sole holder,1999,79
247,111160121,Sole holder,2009,63
248,111160121,Sole holder,2019,62
249,111160121,Spouse,1989,122
250,111160121,Spouse,1999,63
251,111160121,Spouse,2009,41
252,111160121,Spouse,2019,36
253,111160121,Other family members,1989,176
254,111160121,Other family members,1999,78
255,111160121,Other family members,2009,47
256,111160121,Other family members,2019,19
257,111160122,Total,1989,294
258,111160122,Total,1999,166
259,111160122,Total,2009,104
260,111160122,Total,2019,69
261,111160122,Sole holder,1989,94
262,111160122,Sole holder,1999,51
263,111160122,Sole holder,2009,34
264,111160122,Sole holder,2019,29
265,111160122,Spouse,1989,79
266,111160122,Spouse,1999,40
267,111160122,Spouse,2009,29
268,111160122,Spouse,2019,19
269,111160122,Other family members,1989,121
270,111160122,Other family members,1999,75
271,111160122,Other family members,2009,41
272,111160122,Other family members,2019,21
273,111160123,Total,1989,188
274,111160123,Total,1999,143
275,111160123,Total,2009,91
276,111160123,Total,2019,95
277,111160123,Sole holder,1989,54
278,111160123,Sole holder,1999,47
279,111160123,Sole holder,2009,27
280,111160123,Sole holder,2019,37
281,111160123,Spouse,1989,50
282,111160123,Spouse,1999,38
283,111160123,Spouse,2009,23
284,111160123,Spouse,2019,27
285,111160123,Other family members,1989,84
286,111160123,Other family members,1999,58
287,111160123,Other family members,2009,41
288,111160123,Other family members,2019,31
289,111160124,Total,1989,196
290,111160124,Total,1999,108
291,111160124,Total,2009,95
292,111160124,Total,2019,86
293,111160124,Sole holder,1989,58
294,111160124,Sole holder,1999,34
295,111160124,Sole holder,2009,32
296,111160124,Sole holder,2019,38
297,111160124,Spouse,1989,45
298,111160124,Spouse,1999,28
299,111160124,Spouse,2009,25
300,111160124,Spouse,2019,25
301,111160124,Other family members,1989,93
