primary_key,codes,Sex,year,No
1,PT,MF,1989,1974808
2,PT,MF,1999,1236214
3,PT,MF,2009,793169
4,PT,MF,2019,665571
5,PT,M,1989,995482
6,PT,M,1999,624196
7,PT,M,2009,404832
8,PT,M,2019,346725
9,PT,F,1989,979326
10,PT,F,1999,612018
11,PT,F,2009,388337
12,PT,F,2019,318846
13,1,MF,1989,1799736
14,1,MF,1999,1123418
15,1,MF,2009,709928
16,1,MF,2019,599497
17,1,M,1989,909805
18,1,M,1999,568248
19,1,M,2009,362404
20,1,M,2019,312512
21,1,F,1989,889931
22,1,F,1999,555170
23,1,F,2009,347524
24,1,F,2019,286985
25,11,MF,1989,722991
26,11,MF,1999,445403
27,11,MF,2009,302117
28,11,MF,2019,257718
29,11,M,1989,361898
30,11,M,1999,222646
31,11,M,2009,150836
32,11,M,2019,131829
33,11,F,1989,361093
34,11,F,1999,222757
35,11,F,2009,151281
36,11,F,2019,125889
37,111,MF,1989,108018
38,111,MF,1999,57799
39,111,MF,2009,37989
40,111,MF,2019,28806
41,111,M,1989,50935
42,111,M,1999,27250
43,111,M,2009,17951
44,111,M,2019,14211
45,111,F,1989,57083
46,111,F,1999,30549
47,111,F,2009,20038
48,111,F,2019,14595
49,1111601,MF,1989,15182
50,1111601,MF,1999,9005
51,1111601,MF,2009,5859
52,1111601,MF,2019,4512
53,1111601,M,1989,7130
54,1111601,M,1999,4152
55,1111601,M,2009,2715
56,1111601,M,2019,2148
57,1111601,F,1989,8052
58,1111601,F,1999,4853
59,1111601,F,2009,3144
60,1111601,F,2019,2364
61,111160101,MF,1989,268
62,111160101,MF,1999,135
63,111160101,MF,2009,95
64,111160101,MF,2019,94
65,111160101,M,1989,126
66,111160101,M,1999,66
67,111160101,M,2009,42
68,111160101,M,2019,41
69,111160101,F,1989,142
70,111160101,F,1999,69
71,111160101,F,2009,53
72,111160101,F,2019,53
73,111160102,MF,1989,316
74,111160102,MF,1999,174
75,111160102,MF,2009,117
76,111160102,MF,2019,99
77,111160102,M,1989,170
78,111160102,M,1999,87
79,111160102,M,2009,51
80,111160102,M,2019,49
81,111160102,F,1989,146
82,111160102,F,1999,87
83,111160102,F,2009,66
84,111160102,F,2019,50
85,111160104,MF,1989,141
86,111160104,MF,1999,104
87,111160104,MF,2009,78
88,111160104,MF,2019,68
89,111160104,M,1989,62
90,111160104,M,1999,47
91,111160104,M,2009,30
92,111160104,M,2019,32
93,111160104,F,1989,79
94,111160104,F,1999,57
95,111160104,F,2009,48
96,111160104,F,2019,36
97,111160105,MF,1989,295
98,111160105,MF,1999,159
99,111160105,MF,2009,65
100,111160105,MF,2019,63
101,111160105,M,1989,132
102,111160105,M,1999,70
103,111160105,M,2009,26
104,111160105,M,2019,28
105,111160105,F,1989,163
106,111160105,F,1999,89
107,111160105,F,2009,39
108,111160105,F,2019,35
109,111160106,MF,1989,693
110,111160106,MF,1999,319
111,111160106,MF,2009,268
112,111160106,MF,2019,204
113,111160106,M,1989,326
114,111160106,M,1999,136
115,111160106,M,2009,110
116,111160106,M,2019,93
117,111160106,F,1989,367
118,111160106,F,1999,183
119,111160106,F,2009,158
120,111160106,F,2019,111
121,111160108,MF,1989,281
122,111160108,MF,1999,189
123,111160108,MF,2009,110
124,111160108,MF,2019,50
125,111160108,M,1989,130
126,111160108,M,1999,96
127,111160108,M,2009,55
128,111160108,M,2019,25
129,111160108,F,1989,151
130,111160108,F,1999,93
131,111160108,F,2009,55
132,111160108,F,2019,25
133,111160109,MF,1989,313
134,111160109,MF,1999,182
135,111160109,MF,2009,74
136,111160109,MF,2019,104
137,111160109,M,1989,154
138,111160109,M,1999,89
139,111160109,M,2009,33
140,111160109,M,2019,52
141,111160109,F,1989,159
142,111160109,F,1999,93
143,111160109,F,2009,41
144,111160109,F,2019,52
145,111160113,MF,1989,435
146,111160113,MF,1999,260
147,111160113,MF,2009,237
148,111160113,MF,2019,271
149,111160113,M,1989,203
150,111160113,M,1999,122
151,111160113,M,2009,105
152,111160113,M,2019,120
153,111160113,F,1989,232
154,111160113,F,1999,138
155,111160113,F,2009,132
156,111160113,F,2019,151
157,111160115,MF,1989,723
158,111160115,MF,1999,486
159,111160115,MF,2009,317
160,111160115,MF,2019,298
161,111160115,M,1989,337
162,111160115,M,1999,216
163,111160115,M,2009,145
164,111160115,M,2019,144
165,111160115,F,1989,386
166,111160115,F,1999,270
167,111160115,F,2009,172
168,111160115,F,2019,154
169,111160142,MF,1989,282
170,111160142,MF,1999,186
171,111160142,MF,2009,94
172,111160142,MF,2019,58
173,111160142,M,1989,139
174,111160142,M,1999,91
175,111160142,M,2009,42
176,111160142,M,2019,26
177,111160142,F,1989,143
178,111160142,F,1999,95
179,111160142,F,2009,52
180,111160142,F,2019,32
181,111160121,MF,1989,469
182,111160121,MF,1999,220
183,111160121,MF,2009,151
184,111160121,MF,2019,117
185,111160121,M,1989,204
186,111160121,M,1999,96
187,111160121,M,2009,72
188,111160121,M,2019,55
189,111160121,F,1989,265
190,111160121,F,1999,124
191,111160121,F,2009,79
192,111160121,F,2019,62
193,111160122,MF,1989,294
194,111160122,MF,1999,166
195,111160122,MF,2009,104
196,111160122,MF,2019,69
197,111160122,M,1989,140
198,111160122,M,1999,76
199,111160122,M,2009,51
200,111160122,M,2019,31
201,111160122,F,1989,154
202,111160122,F,1999,90
203,111160122,F,2009,53
204,111160122,F,2019,38
205,111160123,MF,1989,188
206,111160123,MF,1999,143
207,111160123,MF,2009,91
208,111160123,MF,2019,95
209,111160123,M,1989,89
210,111160123,M,1999,65
211,111160123,M,2009,43
212,111160123,M,2019,45
213,111160123,F,1989,99
214,111160123,F,1999,78
215,111160123,F,2009,48
216,111160123,F,2019,50
217,111160124,MF,1989,196
218,111160124,MF,1999,108
219,111160124,MF,2009,95
220,111160124,MF,2019,86
221,111160124,M,1989,93
222,111160124,M,1999,57
223,111160124,M,2009,47
224,111160124,M,2019,43
225,111160124,F,1989,103
226,111160124,F,1999,51
227,111160124,F,2009,48
228,111160124,F,2019,43
229,111160125,MF,1989,309
230,111160125,MF,1999,179
231,111160125,MF,2009,126
232,111160125,MF,2019,43
233,111160125,M,1989,156
234,111160125,M,1999,89
235,111160125,M,2009,57
236,111160125,M,2019,22
237,111160125,F,1989,153
238,111160125,F,1999,90
239,111160125,F,2009,69
240,111160125,F,2019,21
241,111160128,MF,1989,390
242,111160128,MF,1999,234
243,111160128,MF,2009,150
244,111160128,MF,2019,134
245,111160128,M,1989,204
246,111160128,M,1999,116
247,111160128,M,2009,72
248,111160128,M,2019,61
249,111160128,F,1989,186
250,111160128,F,1999,118
251,111160128,F,2009,78
252,111160128,F,2019,73
253,111160131,MF,1989,436
254,111160131,MF,1999,214
255,111160131,MF,2009,114
256,111160131,MF,2019,106
257,111160131,M,1989,220
258,111160131,M,1999,96
259,111160131,M,2009,50
260,111160131,M,2019,50
261,111160131,F,1989,216
262,111160131,F,1999,118
263,111160131,F,2009,64
264,111160131,F,2019,56
265,111160130,MF,1989,815
266,111160130,MF,1999,401
267,111160130,MF,2009,293
268,111160130,MF,2019,151
269,111160130,M,1989,408
270,111160130,M,1999,197
271,111160130,M,2009,146
272,111160130,M,2019,71
273,111160130,F,1989,407
274,111160130,F,1999,204
275,111160130,F,2009,147
276,111160130,F,2019,80
277,111160133,MF,1989,513
278,111160133,MF,1999,276
279,111160133,MF,2009,154
280,111160133,MF,2019,99
281,111160133,M,1989,240
282,111160133,M,1999,136
283,111160133,M,2009,72
284,111160133,M,2019,53
285,111160133,F,1989,273
286,111160133,F,1999,140
287,111160133,F,2009,82
288,111160133,F,2019,46
289,111160144,MF,1989,357
290,111160144,MF,1999,232
291,111160144,MF,2009,142
292,111160144,MF,2019,79
293,111160144,M,1989,172
294,111160144,M,1999,105
295,111160144,M,2009,71
296,111160144,M,2019,39
297,111160144,F,1989,185
298,111160144,F,1999,127
299,111160144,F,2009,71
300,111160144,F,2019,40
301,111160145,MF,1989,420
302,111160145,MF,1999,296
303,111160145,MF,2009,193
304,111160145,MF,2019,135
305,111160145,M,1989,185
306,111160145,M,1999,116
307,111160145,M,2009,88
308,111160145,M,2019,60
309,111160145,F,1989,235
310,111160145,F,1999,180
311,111160145,F,2009,105
312,111160145,F,2019,75
313,111160146,MF,1989,821
314,111160146,MF,1999,561
315,111160146,MF,2009,298
316,111160146,MF,2019,268
317,111160146,M,1989,351
318,111160146,M,1999,252
319,111160146,M,2009,131
320,111160146,M,2019,129
321,111160146,F,1989,470
322,111160146,F,1999,309
323,111160146,F,2009,167
324,111160146,F,2019,139
325,111160152,MF,1989,466
326,111160152,MF,1999,255
327,111160152,MF,2009,143
328,111160152,MF,2019,119
329,111160152,M,1989,220
330,111160152,M,1999,111
331,111160152,M,2009,58
332,111160152,M,2019,57
333,111160152,F,1989,246
334,111160152,F,1999,144
335,111160152,F,2009,85
336,111160152,F,2019,62
337,111160154,MF,1989,290
338,111160154,MF,1999,107
339,111160154,MF,2009,63
340,111160154,MF,2019,72
341,111160154,M,1989,136
342,111160154,M,1999,47
343,111160154,M,2009,34
344,111160154,M,2019,36
345,111160154,F,1989,154
346,111160154,F,1999,60
347,111160154,F,2009,29
348,111160154,F,2019,36
349,111160153,MF,1989,258
350,111160153,MF,1999,179
351,111160153,MF,2009,126
352,111160153,MF,2019,90
353,111160153,M,1989,127
354,111160153,M,1999,83
355,111160153,M,2009,67
356,111160153,M,2019,48
357,111160153,F,1989,131
358,111160153,F,1999,96
359,111160153,F,2009,59
360,111160153,F,2019,42
361,111160155,MF,1989,409
362,111160155,MF,1999,249
363,111160155,MF,2009,133
364,111160155,MF,2019,84
365,111160155,M,1989,168
366,111160155,M,1999,111
367,111160155,M,2009,64
368,111160155,M,2019,42
369,111160155,F,1989,241
370,111160155,F,1999,138
371,111160155,F,2009,69
372,111160155,F,2019,42
373,111160156,MF,1989,564
374,111160156,MF,1999,344
375,111160156,MF,2009,243
376,111160156,MF,2019,177
377,111160156,M,1989,253
378,111160156,M,1999,149
379,111160156,M,2009,111
380,111160156,M,2019,77
381,111160156,F,1989,311
382,111160156,F,1999,195
383,111160156,F,2009,132
384,111160156,F,2019,100
385,111160157,MF,1989,385
386,111160157,MF,1999,252
387,111160157,MF,2009,162
388,111160157,MF,2019,146
389,111160157,M,1989,180
390,111160157,M,1999,119
391,111160157,M,2009,79
392,111160157,M,2019,68
393,111160157,F,1989,205
394,111160157,F,1999,133
395,111160157,F,2009,83
396,111160157,F,2019,78
397,111160158,MF,1989,488
398,111160158,MF,1999,257
399,111160158,MF,2009,165
400,111160158,MF,2019,114
401,111160158,M,1989,224
402,111160158,M,1999,117
403,111160158,M,2009,76
404,111160158,M,2019,56
405,111160158,F,1989,264
