primary_key,codes,Perm_crop,year,Nr
1,PT,Total,1989,484708
2,PT,Total,1999,305361
3,PT,Total,2009,182493
4,PT,Total,2019,139924
5,PT,Cereals,1989,370017
6,PT,Cereals,1999,197484
7,PT,Cereals,2009,110852
8,PT,Cereals,2019,67223
9,PT,Dried pulses,1989,238782
10,PT,Dried pulses,1999,95425
11,PT,Dried pulses,2009,29959
12,PT,Dried pulses,2019,16170
13,PT,Potatoes,1989,344189
14,PT,Potatoes,1999,181558
15,PT,Potatoes,2009,66258
16,PT,Potatoes,2019,40035
17,PT,Industrial crops,1989,4956
18,PT,Industrial crops,1999,4529
19,PT,Industrial crops,2009,2579
20,PT,Industrial crops,2019,2648
21,PT,Fresh vegetables,1989,87820
22,PT,Fresh vegetables,1999,57135
23,PT,Fresh vegetables,2009,26856
24,PT,Fresh vegetables,2019,23682
25,PT,Other temporary crops,1989,81845
26,PT,Other temporary crops,1999,30852
27,PT,Other temporary crops,2009,8367
28,PT,Other temporary crops,2019,8179
29,1,Total,1989,446915
30,1,Total,1999,280214
31,1,Total,2009,165265
32,1,Total,2019,124902
33,1,Cereals,1989,352158
34,1,Cereals,1999,190446
35,1,Cereals,2009,108524
36,1,Cereals,2019,66584
37,1,Dried pulses,1989,222230
38,1,Dried pulses,1999,87021
39,1,Dried pulses,2009,28882
40,1,Dried pulses,2019,15945
41,1,Potatoes,1989,312443
42,1,Potatoes,1999,163360
43,1,Potatoes,2009,56969
44,1,Potatoes,2019,34570
45,1,Industrial crops,1989,3638
46,1,Industrial crops,1999,3738
47,1,Industrial crops,2009,1364
48,1,Industrial crops,2019,1147
49,1,Fresh vegetables,1989,77052
50,1,Fresh vegetables,1999,48610
51,1,Fresh vegetables,2009,18141
52,1,Fresh vegetables,2019,15874
53,1,Other temporary crops,1989,65133
54,1,Other temporary crops,1999,20662
55,1,Other temporary crops,2009,1424
56,1,Other temporary crops,2019,1718
57,11,Total,1989,165350
58,11,Total,1999,107078
59,11,Total,2009,71422
60,11,Total,2019,54566
61,11,Cereals,1989,143682
62,11,Cereals,1999,80972
63,11,Cereals,2009,52735
64,11,Cereals,2019,34891
65,11,Dried pulses,1989,98644
66,11,Dried pulses,1999,35932
67,11,Dried pulses,2009,11620
68,11,Dried pulses,2019,6615
69,11,Potatoes,1989,136620
70,11,Potatoes,1999,79179
71,11,Potatoes,2009,31131
72,11,Potatoes,2019,18895
73,11,Industrial crops,1989,141
74,11,Industrial crops,1999,157
75,11,Industrial crops,2009,54
76,11,Industrial crops,2019,130
77,11,Fresh vegetables,1989,22870
78,11,Fresh vegetables,1999,12124
79,11,Fresh vegetables,2009,4661
80,11,Fresh vegetables,2019,5567
81,11,Other temporary crops,1989,59644
82,11,Other temporary crops,1999,18268
83,11,Other temporary crops,2009,650
84,11,Other temporary crops,2019,348
85,111,Total,1989,27998
86,111,Total,1999,15920
87,111,Total,2009,11421
88,111,Total,2019,7594
89,111,Cereals,1989,26567
90,111,Cereals,1999,14480
91,111,Cereals,2009,9800
92,111,Cereals,2019,5844
93,111,Dried pulses,1989,24821
94,111,Dried pulses,1999,9180
95,111,Dried pulses,2009,3353
96,111,Dried pulses,2019,1202
97,111,Potatoes,1989,22800
98,111,Potatoes,1999,12072
99,111,Potatoes,2009,7250
100,111,Potatoes,2019,3383
101,111,Industrial crops,1989,11
102,111,Industrial crops,1999,20
103,111,Industrial crops,2009,6
104,111,Industrial crops,2019,14
105,111,Fresh vegetables,1989,4869
106,111,Fresh vegetables,1999,869
107,111,Fresh vegetables,2009,238
108,111,Fresh vegetables,2019,247
109,111,Other temporary crops,1989,21347
110,111,Other temporary crops,1999,6013
111,111,Other temporary crops,2009,469
112,111,Other temporary crops,2019,24
113,1111601,Total,1989,4443
114,1111601,Total,1999,2893
115,1111601,Total,2009,1921
116,1111601,Total,2019,1142
117,1111601,Cereals,1989,4218
118,1111601,Cereals,1999,2685
119,1111601,Cereals,2009,1659
120,1111601,Cereals,2019,865
121,1111601,Dried pulses,1989,4174
122,1111601,Dried pulses,1999,1995
123,1111601,Dried pulses,2009,830
124,1111601,Dried pulses,2019,114
125,1111601,Potatoes,1989,3731
126,1111601,Potatoes,1999,2158
127,1111601,Potatoes,2009,1298
128,1111601,Potatoes,2019,323
129,1111601,Industrial crops,1989,1
130,1111601,Industrial crops,1999,4
131,1111601,Industrial crops,2009,2
132,1111601,Industrial crops,2019,2
133,1111601,Fresh vegetables,1989,98
134,1111601,Fresh vegetables,1999,67
135,1111601,Fresh vegetables,2009,30
136,1111601,Fresh vegetables,2019,47
137,1111601,Other temporary crops,1989,3616
138,1111601,Other temporary crops,1999,1167
139,1111601,Other temporary crops,2009,65
140,1111601,Other temporary crops,2019,1
141,111160101,Total,1989,84
142,111160101,Total,1999,38
143,111160101,Total,2009,30
144,111160101,Total,2019,20
145,111160101,Cereals,1989,78
146,111160101,Cereals,1999,35
147,111160101,Cereals,2009,24
148,111160101,Cereals,2019,19
149,111160101,Dried pulses,1989,76
150,111160101,Dried pulses,1999,5
151,111160101,Dried pulses,2009,14
152,111160101,Dried pulses,2019,1
153,111160101,Potatoes,1989,58
154,111160101,Potatoes,1999,19
155,111160101,Potatoes,2009,21
156,111160101,Potatoes,2019,7
157,111160101,Industrial crops,1989,
158,111160101,Industrial crops,1999,
159,111160101,Industrial crops,2009,
160,111160101,Industrial crops,2019,
161,111160101,Fresh vegetables,1989,
162,111160101,Fresh vegetables,1999,
163,111160101,Fresh vegetables,2009,
164,111160101,Fresh vegetables,2019,
165,111160101,Other temporary crops,1989,74
166,111160101,Other temporary crops,1999,10
167,111160101,Other temporary crops,2009,
168,111160101,Other temporary crops,2019,
169,111160102,Total,1989,80
170,111160102,Total,1999,54
171,111160102,Total,2009,41
172,111160102,Total,2019,27
173,111160102,Cereals,1989,80
174,111160102,Cereals,1999,53
175,111160102,Cereals,2009,38
176,111160102,Cereals,2019,27
177,111160102,Dried pulses,1989,80
178,111160102,Dried pulses,1999,49
179,111160102,Dried pulses,2009,6
180,111160102,Dried pulses,2019,
181,111160102,Potatoes,1989,56
182,111160102,Potatoes,1999,53
183,111160102,Potatoes,2009,26
184,111160102,Potatoes,2019,
185,111160102,Industrial crops,1989,
