primary_key,codes,year,N_Tractors
1,PT,2019,"0,7"
2,PT,2009,"0,6"
3,PT,1999,"0,4"
4,PT,1989,"0,2"
5,1,2019,"0,7"
6,1,2009,"0,6"
7,1,1999,"0,4"
8,1,1989,"0,2"
9,11,2019,"0,6"
10,11,2009,"0,6"
11,11,1999,"0,4"
12,11,1989,"0,2"
13,111,2019,"0,7"
14,111,2009,"0,6"
15,111,1999,"0,4"
16,111,1989,"0,2"
17,1111601,2019,"0,5"
18,1111601,2009,"0,4"
19,1111601,1999,"0,2"
20,1111601,1989,"0,1"
21,111160101,2019,"0,7"
22,111160101,2009,"0,6"
23,111160101,1999,"0,4"
24,111160101,1989,"0,2"
25,111160102,2019,"0,4"
26,111160102,2009,"0,3"
27,111160102,1999,"0,2"
28,111160102,1989,"0,1"
29,111160104,2019,"0,4"
30,111160104,2009,"0,3"
31,111160104,1999,"0,2"
32,111160104,1989,"0,2"
33,111160105,2019,"0,1"
34,111160105,2009,0
35,111160105,1999,"0,1"
36,111160105,1989,0
37,111160106,2019,"0,4"
38,111160106,2009,"0,3"
39,111160106,1999,"0,1"
40,111160106,1989,"0,1"
41,111160108,2019,"0,7"
42,111160108,2009,"0,5"
43,111160108,1999,"0,2"
44,111160108,1989,"0,1"
45,111160109,2019,"0,6"
46,111160109,2009,"0,7"
47,111160109,1999,"0,3"
48,111160109,1989,"0,2"
49,111160113,2019,"0,5"
50,111160113,2009,"0,4"
51,111160113,1999,"0,4"
52,111160113,1989,0
53,111160115,2019,"0,4"
54,111160115,2009,"0,3"
55,111160115,1999,"0,2"
56,111160115,1989,"0,1"
57,111160142,2019,"0,7"
58,111160142,2009,"0,5"
59,111160142,1999,"0,3"
60,111160142,1989,"0,1"
61,111160121,2019,"0,4"
62,111160121,2009,"0,3"
63,111160121,1999,"0,1"
64,111160121,1989,0
65,111160122,2019,"0,4"
66,111160122,2009,"0,4"
67,111160122,1999,"0,2"
68,111160122,1989,"0,1"
69,111160123,2019,"0,5"
70,111160123,2009,"0,6"
71,111160123,1999,"0,2"
72,111160123,1989,"0,1"
73,111160124,2019,"0,5"
74,111160124,2009,"0,6"
75,111160124,1999,"0,4"
76,111160124,1989,"0,2"
77,111160125,2019,"0,8"
78,111160125,2009,"0,5"
79,111160125,1999,"0,5"
80,111160125,1989,"0,3"
81,111160128,2019,"0,5"
82,111160128,2009,"0,4"
83,111160128,1999,"0,3"
84,111160128,1989,"0,1"
85,111160131,2019,"0,5"
86,111160131,2009,"0,4"
87,111160131,1999,"0,2"
88,111160131,1989,0
89,111160130,2019,"0,3"
90,111160130,2009,"0,2"
91,111160130,1999,"0,1"
92,111160130,1989,0
93,111160133,2019,"0,5"
94,111160133,2009,"0,4"
95,111160133,1999,"0,1"
96,111160133,1989,0
97,111160144,2019,"0,6"
98,111160144,2009,"0,2"
99,111160144,1999,"0,1"
100,111160144,1989,0
101,111160145,2019,"0,4"
102,111160145,2009,"0,4"
103,111160145,1999,"0,1"
104,111160145,1989,0
105,111160146,2019,"0,3"
106,111160146,2009,"0,2"
107,111160146,1999,"0,1"
108,111160146,1989,0
109,111160152,2019,"0,8"
110,111160152,2009,"0,5"
111,111160152,1999,"0,3"
112,111160152,1989,"0,2"
113,111160154,2019,"0,5"
114,111160154,2009,"0,4"
115,111160154,1999,"0,5"
116,111160154,1989,"0,1"
117,111160153,2019,"0,6"
118,111160153,2009,"0,4"
119,111160153,1999,"0,2"
120,111160153,1989,"0,1"
121,111160155,2019,"0,5"
122,111160155,2009,"0,4"
123,111160155,1999,"0,2"
124,111160155,1989,"0,1"
125,111160156,2019,"0,4"
126,111160156,2009,"0,3"
127,111160156,1999,"0,1"
128,111160156,1989,0
129,111160157,2019,"0,5"
130,111160157,2009,"0,5"
131,111160157,1999,"0,2"
132,111160157,1989,"0,1"
133,111160158,2019,"0,4"
134,111160158,2009,"0,2"
135,111160158,1999,"0,2"
136,111160158,1989,0
137,111160159,2019,"0,6"
138,111160159,2009,"0,6"
139,111160159,1999,"0,3"
140,111160159,1989,"0,1"
141,111160160,2019,"0,6"
142,111160160,2009,"0,4"
143,111160160,1999,"0,3"
144,111160160,1989,"0,1"
145,111160161,2019,"0,7"
146,111160161,2009,"0,5"
147,111160161,1999,"0,3"
148,111160161,1989,"0,1"
149,111160162,2019,"0,6"
150,111160162,2009,"0,4"
151,111160162,1999,"0,3"
152,111160162,1989,"0,2"
153,111160163,2019,"0,4"
154,111160163,2009,"0,4"
155,111160163,1999,"0,2"
156,111160163,1989,"0,2"
157,111160164,2019,"0,7"
158,111160164,2009,"0,5"
159,111160164,1999,"0,3"
160,111160164,1989,"0,2"
161,111160149,2019,"0,4"
162,111160149,2009,"0,4"
163,111160149,1999,"0,1"
164,111160149,1989,"0,1"
165,1111602,2019,"0,6"
166,1111602,2009,"0,5"
167,1111602,1999,"0,3"
168,1111602,1989,"0,2"
169,111160201,2019,"0,6"
170,111160201,2009,"0,4"
171,111160201,1999,"0,6"
172,111160201,1989,"0,2"
173,111160205,2019,"0,5"
174,111160205,2009,"0,4"
175,111160205,1999,"0,3"
176,111160205,1989,"0,1"
177,111160209,2019,"0,5"
178,111160209,2009,"0,5"
179,111160209,1999,"0,4"
180,111160209,1989,"0,3"
181,111160211,2019,"0,2"
182,111160211,2009,"0,9"
183,111160211,1999,"0,2"
184,111160211,1989,"0,1"
185,111160214,2019,"0,5"
186,111160214,2009,"0,4"
187,111160214,1999,"0,3"
188,111160214,1989,"0,1"
189,111160215,2019,"0,6"
190,111160215,2009,"0,6"
191,111160215,1999,"0,2"
192,111160215,1989,"0,1"
193,111160221,2019,"0,5"
194,111160221,2009,"0,3"
195,111160221,1999,"0,2"
196,111160221,1989,"0,1"
197,111160222,2019,"0,7"
198,111160222,2009,"0,7"
199,111160222,1999,"0,6"
200,111160222,1989,"0,2"
201,111160223,2019,"0,7"
202,111160223,2009,"0,5"
203,111160223,1999,"0,5"
204,111160223,1989,"0,2"
205,111160224,2019,"0,6"
206,111160224,2009,"1,1"
207,111160224,1999,"0,4"
208,111160224,1989,"0,1"
209,111160225,2019,"0,5"
210,111160225,2009,"0,8"
211,111160225,1999,"0,4"
212,111160225,1989,"0,2"
213,111160217,2019,"0,3"
214,111160217,2009,"0,4"
