primary_key,codes,legal_form,year,area_ha
1,PT,Natural person (sole holder),1989,3367749
2,PT,Natural person (sole holder),1999,3052383
3,PT,Natural person (sole holder),2009,2486926
4,PT,Natural person (sole holder),2019,2322041
5,PT,Group of natural persons (group holding),1989,375555
6,PT,Group of natural persons (group holding),1999,666214
7,PT,Group of natural persons (group holding),2009,991453
8,PT,Group of natural persons (group holding),2019,1456715
9,PT,Fallow land comissions,1989,48322
10,PT,Fallow land comissions,1999,70690
11,PT,Fallow land comissions,2009,127660
12,PT,Fallow land comissions,2019,139216
13,PT,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,213947
14,PT,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,73807
15,PT,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,62105
16,PT,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,45972
17,1,Natural person (sole holder),1989,3252619
18,1,Natural person (sole holder),1999,2935907
19,1,Natural person (sole holder),2009,2370995
20,1,Natural person (sole holder),2019,2206165
21,1,Group of natural persons (group holding),1989,371262
22,1,Group of natural persons (group holding),1999,661772
23,1,Group of natural persons (group holding),2009,986641
24,1,Group of natural persons (group holding),2019,1448524
25,1,Fallow land comissions,1989,48322
26,1,Fallow land comissions,1999,70690
27,1,Fallow land comissions,2009,127660
28,1,Fallow land comissions,2019,138977
29,1,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1989,207376
30,1,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",1999,67772
31,1,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2009,57008
32,1,"Other (cooperative enterprises, associations, foundations, monasteries, convents, seminars, private schools ...)",2019,45042
33,11,Natural person (sole holder),1989,714684
34,11,Natural person (sole holder),1999,577534
35,11,Natural person (sole holder),2009,482578
36,11,Natural person (sole holder),2019,467362
37,11,Group of natural persons (group holding),1989,14873
38,11,Group of natural persons (group holding),1999,20996
39,11,Group of natural persons (group holding),2009,30010
40,11,Group of natural persons (group holding),2019,60232
