primary_key,codes,year,vt_euros
1,1,2019,6227247159
2,1,1999,4224367782
3,1,2009,4208310788
4,11,2019,1312536063
5,11,1999,1103821649
6,11,2009,927683951
7,111,2019,81807890
8,111,1999,91879856
9,111,2009,68962051
10,1111601,2019,11530051
11,1111601,1999,12117338
12,1111601,2009,8999064
13,111160101,2019,101072
14,111160101,1999,166418
15,111160101,2009,102370
16,111160102,2019,156561
17,111160102,1999,168765
18,111160102,2009,141807
19,111160104,2019,140132
20,111160104,1999,121287
21,111160104,2009,90852
22,111160105,2019,189450
23,111160105,1999,342229
24,111160105,2009,163891
25,111160106,2019,612235
26,111160106,1999,623085
27,111160106,2009,504842
28,111160108,2019,80108
29,111160108,1999,156077
30,111160108,2009,111995
31,111160109,2019,132006
32,111160109,1999,150135
33,111160109,2009,67211
34,111160113,2019,1262534
35,111160113,1999,455434
36,111160113,2009,644006
37,111160115,2019,856323
38,111160115,1999,623874
39,111160115,2009,584747
40,111160142,2019,128485
41,111160142,1999,206389
42,111160142,2009,95462
43,111160121,2019,216428
44,111160121,1999,160308
45,111160121,2009,223743
46,111160122,2019,95561
47,111160122,1999,163449
48,111160122,2009,108546
49,111160123,2019,287444
50,111160123,1999,272732
51,111160123,2009,126457
52,111160124,2019,369985
53,111160124,1999,842072
54,111160124,2009,607403
55,111160125,2019,560826
56,111160125,1999,212841
57,111160125,2009,146176
58,111160128,2019,196338
59,111160128,1999,231364
60,111160128,2009,156895
61,111160131,2019,140672
62,111160131,1999,195851
63,111160131,2009,130468
64,111160130,2019,240910
65,111160130,1999,419459
66,111160130,2009,411148
67,111160133,2019,154778
68,111160133,1999,263936
69,111160133,2009,139995
70,111160144,2019,123967
71,111160144,1999,224065
72,111160144,2009,192583
73,111160145,2019,581940
74,111160145,1999,443094
75,111160145,2009,496341
76,111160146,2019,852847
77,111160146,1999,762554
78,111160146,2009,649546
79,111160152,2019,289041
80,111160152,1999,329543
81,111160152,2009,197082
82,111160154,2019,130880
83,111160154,1999,407952
84,111160154,2009,63396
85,111160153,2019,270822
86,111160153,1999,255187
87,111160153,2009,220736
88,111160155,2019,113808
89,111160155,1999,240544
90,111160155,2009,123242
91,111160156,2019,599058
92,111160156,1999,329487
93,111160156,2009,267041
94,111160157,2019,336293
95,111160157,1999,239832
96,111160157,2009,185306
97,111160158,2019,224535
98,111160158,1999,348247
99,111160158,2009,158044
100,111160159,2019,240850
101,111160159,1999,226200
102,111160159,2009,240713
103,111160160,2019,99309
104,111160160,1999,374953
105,111160160,2009,151043
106,111160161,2019,468066
107,111160161,1999,407336
108,111160161,2009,308053
109,111160162,2019,230317
110,111160162,1999,252742
111,111160162,2009,182419
112,111160163,2019,301108
113,111160163,1999,659472
114,111160163,2009,307071
115,111160164,2019,363645
116,111160164,1999,520512
117,111160164,2009,324707
118,111160149,2019,381719
119,111160149,1999,319913
120,111160149,2009,373727
121,1111602,2019,3015466
122,1111602,1999,3898538
123,1111602,2009,2894007
124,111160201,2019,113801
125,111160201,1999,134336
126,111160201,2009,51541
127,111160205,2019,38738
128,111160205,1999,207273
129,111160205,2009,103636
130,111160209,2019,83602
131,111160209,1999,235789
132,111160209,2009,92168
133,111160211,2019,41874
134,111160211,1999,81030
135,111160211,2009,33069
136,111160214,2019,281883
137,111160214,1999,508055
138,111160214,2009,1207195
139,111160215,2019,19784
140,111160215,1999,100634
141,111160215,2009,40319
142,111160221,2019,228324
143,111160221,1999,470027
144,111160221,2009,169922
145,111160222,2019,65582
146,111160222,1999,160624
147,111160222,2009,68077
148,111160223,2019,153041
149,111160223,1999,321674
150,111160223,2009,196877
151,111160224,2019,70716
152,111160224,1999,69254
153,111160224,2009,43025
154,111160225,2019,184781
155,111160225,1999,328454
156,111160225,2009,175062
157,111160217,2019,352450
158,111160217,1999,315255
159,111160217,2009,299309
160,111160218,2019,103743
161,111160218,1999,850201
162,111160218,2009,335310
163,111160220,2019,1277146
164,111160220,1999,115931
165,111160220,2009,78497
166,1111603,2019,5191947
167,1111603,1999,4309444
168,1111603,2009,3678728
169,111160301,2019,527471
170,111160301,1999,391965
171,111160301,2009,347243
172,111160304,2019,103674
173,111160304,1999,163754
174,111160304,2009,83835
175,111160305,2019,104528
176,111160305,1999,120690
177,111160305,2009,83699
178,111160307,2019,237329
179,111160307,1999,245761
180,111160307,2009,127473
181,111160308,2019,259610
182,111160308,1999,153422
183,111160308,2009,88700
184,111160311,2019,758910
185,111160311,1999,648111
186,111160311,2009,492514
187,111160313,2019,321611
188,111160313,1999,254068
189,111160313,2009,228517
190,111160317,2019,295231
191,111160317,1999,271750
192,111160317,2009,174860
193,111160319,2019,1212479
194,111160319,1999,686811
195,111160319,2009,984834
196,111160320,2019,310195
197,111160320,1999,294250
198,111160320,2009,226461
199,111160321,2019,362886
200,111160321,1999,566481
201,111160321,2009,391235
202,111160322,2019,365925
203,111160322,1999,253669
204,111160322,2009,193885
205,111160323,2019,332098
206,111160323,1999,258711
207,111160323,2009,255472
208,1111604,2019,9358899
209,1111604,1999,8415105
210,1111604,2009,6897106
211,111160401,2019,124616
212,111160401,1999,177782
213,111160401,2009,111381
214,111160404,2019,407460
215,111160404,1999,365726
216,111160404,2009,287814
217,111160405,2019,116977
218,111160405,1999,139437
219,111160405,2009,131662
220,111160406,2019,249186
221,111160406,1999,207212
222,111160406,2009,177253
223,111160407,2019,351616
224,111160407,1999,137020
225,111160407,2009,159580
226,111160410,2019,242299
227,111160410,1999,250931
228,111160410,2009,181801
229,111160411,2019,670244
230,111160411,1999,444311
231,111160411,2009,381878
232,111160415,2019,827835
233,111160415,1999,893019
234,111160415,2009,747897
235,111160418,2019,586321
236,111160418,1999,408813
237,111160418,2009,279838
238,111160420,2019,820487
239,111160420,1999,710449
240,111160420,2009,446966
241,111160421,2019,220399
242,111160421,1999,312217
243,111160421,2009,219266
244,111160422,2019,156903
