primary_key,codes,work_load,year,work_uta
1,PT,Mão-de-obra agrícola total,1989,850031
2,PT,Mão-de-obra agrícola total,2019,314509
3,PT,Mão-de-obra agrícola total,2009,367393
4,PT,Mão-de-obra agrícola total,1999,526145
5,,Mão-de-obra agrícola familiar,1999,431632
6,,Produtor,1999,219568
7,,Cônjuge,1999,135138
8,,Outros membros da família,1999,76926
9,,Mão-de-obra agrícola não familiar,1999,94513
10,,Permanente,1999,47219
11,,Eventual,1999,44363
12,,Mão-de-obra não contratada pelo produtor,1999,2931
13,1,Mão-de-obra agrícola total,1989,810005
14,1,Mão-de-obra agrícola total,2019,293236
15,1,Mão-de-obra agrícola total,2009,341502
16,1,Mão-de-obra agrícola total,1999,497537
17,,Mão-de-obra agrícola familiar,1999,408224
18,,Produtor,1999,206241
19,,Cônjuge,1999,130440
20,,Outros membros da família,1999,71543
21,,Mão-de-obra agrícola não familiar,1999,89313
22,,Permanente,1999,43962
23,,Eventual,1999,42525
24,,Mão-de-obra não contratada pelo produtor,1999,2826
25,11,Mão-de-obra agrícola total,1989,317855
26,11,Mão-de-obra agrícola total,2019,119432
27,11,Mão-de-obra agrícola total,2009,148088
28,11,Mão-de-obra agrícola total,1999,204053
29,,Mão-de-obra agrícola familiar,1999,174294
30,,Produtor,1999,81719
31,,Cônjuge,1999,52834
32,,Outros membros da família,1999,39741
33,,Mão-de-obra agrícola não familiar,1999,29759
34,,Permanente,1999,12142
35,,Eventual,1999,16419
36,,Mão-de-obra não contratada pelo produtor,1999,1198
37,111,Mão-de-obra agrícola total,1989,51652
38,111,Mão-de-obra agrícola total,2019,12493
39,111,Mão-de-obra agrícola total,2009,19355
40,111,Mão-de-obra agrícola total,1999,27149
41,,Mão-de-obra agrícola familiar,1999,25423
42,,Produtor,1999,12109
43,,Cônjuge,1999,7529
44,,Outros membros da família,1999,5785
45,,Mão-de-obra agrícola não familiar,1999,1726
46,,Permanente,1999,688
47,,Eventual,1999,955
48,,Mão-de-obra não contratada pelo produtor,1999,83
49,1111601,Mão-de-obra agrícola total,1989,9650
50,1111601,Mão-de-obra agrícola total,2019,2087
51,1111601,Mão-de-obra agrícola total,2009,3196
52,1111601,Mão-de-obra agrícola total,1999,4920
53,,Mão-de-obra agrícola familiar,1999,4605
54,,Produtor,1999,2228
55,,Cônjuge,1999,1503
56,,Outros membros da família,1999,873
57,,Mão-de-obra agrícola não familiar,1999,315
58,,Permanente,1999,87
59,,Eventual,1999,217
60,,Mão-de-obra não contratada pelo produtor,1999,11
61,111160101,Mão-de-obra agrícola total,1989,168
62,111160101,Mão-de-obra agrícola total,2019,35
63,111160101,Mão-de-obra agrícola total,2009,51
64,111160101,Mão-de-obra agrícola total,1999,63
65,,Mão-de-obra agrícola familiar,1999,62
66,,Produtor,1999,26
67,,Cônjuge,1999,22
68,,Outros membros da família,1999,14
69,,Mão-de-obra agrícola não familiar,1999,2
70,,Permanente,1999,0
71,,Eventual,1999,2
72,,Mão-de-obra não contratada pelo produtor,1999,0
73,111160102,Mão-de-obra agrícola total,1989,183
74,111160102,Mão-de-obra agrícola total,2019,72
75,111160102,Mão-de-obra agrícola total,2009,68
76,111160102,Mão-de-obra agrícola total,1999,82
77,,Mão-de-obra agrícola familiar,1999,78
78,,Produtor,1999,37
79,,Cônjuge,1999,25
80,,Outros membros da família,1999,16
81,,Mão-de-obra agrícola não familiar,1999,4
82,,Permanente,1999,0
83,,Eventual,1999,3
84,,Mão-de-obra não contratada pelo produtor,1999,0
85,111160104,Mão-de-obra agrícola total,1989,102
86,111160104,Mão-de-obra agrícola total,2019,19
87,111160104,Mão-de-obra agrícola total,2009,31
88,111160104,Mão-de-obra agrícola total,1999,60
89,,Mão-de-obra agrícola familiar,1999,55
90,,Produtor,1999,24
91,,Cônjuge,1999,20
92,,Outros membros da família,1999,11
93,,Mão-de-obra agrícola não familiar,1999,5
94,,Permanente,1999,0
95,,Eventual,1999,5
96,,Mão-de-obra não contratada pelo produtor,1999,0
97,111160105,Mão-de-obra agrícola total,1989,195
98,111160105,Mão-de-obra agrícola total,2019,26
99,111160105,Mão-de-obra agrícola total,2009,34
100,111160105,Mão-de-obra agrícola total,1999,101
101,,Mão-de-obra agrícola familiar,1999,98
102,,Produtor,1999,53
103,,Cônjuge,1999,32
104,,Outros membros da família,1999,13
105,,Mão-de-obra agrícola não familiar,1999,4
106,,Permanente,1999,0
107,,Eventual,1999,3
108,,Mão-de-obra não contratada pelo produtor,1999,0
109,111160106,Mão-de-obra agrícola total,1989,450
