
Statistical table extracted on October 16, 2022 (17:31:19)
http://www.ine.pt



Geographic localization (NUTS -2013);Livestock (No.) of agricultural holdings by Geographic localization (NUTS -2013) and Animal specie -  Decennial (1) ;;;;;;;;
;Data reference period;;;;;;;;
;2019;;;;;;;;
;Animal specie;;;;;;;;
;Cattle;Pigs;Sheep;Goats;Equidae;Poultry;Rabbits;Inhabited hives and traditional cork hives;
;No. ;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
PT: Portugal;1581562;2213742;2182016;372341;39469;54503176;1145856;714367;
1: Continente;1294891;2160819;2171753;359461;37980;53400978;1133545;701851;
11: Norte;305049;74114;326455;94389;14772;3783010;713851;257039;
111: Alto Minho;27927;2588;34438;11277;2412;260701;53243;18695;
1111601: Arcos de Valdevez;8882;268;6253;3905;878;21334;3168;2687;
111160101: Aboim das Choças;63;4;71;32;- -;389;104;8;
111160102: Aguiã;52;13;157;46;- -;562;69;180;
111160104: Ázere;68;19;82;52;- -;407;85;- -;
111160105: Cabana Maior;110;- -;161;46;40;230;5;- -;
111160106: Cabreiro;699;4;84;61;118;724;82;23;
111160108: Cendufe;12;1;120;37;4;325;22;- -;
111160109: Couto;47;3;78;2;11;551;32;450;
111160113: Gavieira;2170;12;11;367;15;462;111;77;
111160115: Gondoriz;780;2;358;756;126;1065;162;22;
111160142: Jolda (São Paio);7;2;89;2;1;434;22;137;
111160121: Miranda;116;8;327;19;38;702;182;11;
111160122: Monte Redondo;26;2;45;10;21;494;27;- -;
111160123: Oliveira;24;8;66;16;15;397;49;176;
111160124: Paçô;144;- -;192;10;1;315;- -;90;
111160125: Padroso;246;- -;105;15;2;285;17;25;
111160128: Prozelo;134;26;396;113;13;694;88;- -;
111160131: Rio de Moinhos;92;5;105;24;3;568;67;- -;
111160130: Rio Frio;192;7;279;54;23;794;125;22;
111160133: Sabadim;27;9;171;1;1;488;76;26;
111160144: Senharei;156;3;117;118;13;338;86;- -;
111160145: Sistelo;743;17;125;68;72;496;34;27;
111160146: Soajo;845;8;601;423;160;852;157;118;
111160152: União das freguesias de Alvora e Loureda;198;15;214;54;18;504;66;64;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;106;7;101;24;15;472;175;- -;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;127;1;106;33;2;476;29;12;
111160155: União das freguesias de Eiras e Mei;38;- -;91;25;1;481;90;- -;
111160156: União das freguesias de Grade e Carralcova;413;4;275;146;28;555;43;- -;
111160157: União das freguesias de Guilhadeses e Santar;158;13;124;26;- -;654;100;31;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;36;11;63;36;1;1048;113;451;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);145;10;134;21;8;444;57;4;
111160160: União das freguesias de Portela e Extremo;39;4;290;78;23;429;48;64;
111160161: União das freguesias de São Jorge e Ermelo;101;11;211;466;12;802;65;500;
111160162: União das freguesias de Souto e Tabaçô;108;1;68;40;9;704;58;105;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);72;6;291;44;11;1181;270;63;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;309;12;316;25;16;1200;206;1;
111160149: Vale;279;20;229;615;57;812;246;- -;
1111602: Caminha;210;129;1356;259;22;8827;8350;1218;
111160201: Âncora;19;5;19;9;2;592;98;21;
111160205: Argela;16;- -;32;13;- -;183;5;1;
111160209: Dem;8;19;100;5;2;542;28;233;
111160211: Lanhelas;- -;- -;9;9;- -;96;10;185;
111160214: Riba de Âncora;36;14;68;7;2;1678;7154;130;
111160215: Seixas;- -;1;43;- -;- -;116;5;- -;
111160221: União das freguesias de Arga (Baixo, Cima e São João);12;23;689;34;1;840;164;370;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;20;9;47;12;5;381;22;4;
111160223: União das freguesias de Gondar e Orbacém;30;23;53;65;- -;988;104;53;
111160224: União das freguesias de Moledo e Cristelo;4;8;32;27;5;364;95;93;
111160225: União das freguesias de Venade e Azevedo;21;17;42;53;1;1030;114;- -;
111160217: Vila Praia de Âncora;13;4;7;3;1;538;92;65;
111160218: Vilar de Mouros;22;5;215;13;3;401;218;3;
111160220: Vile;9;1;- -;9;- -;1078;241;60;
1111603: Melgaço;1809;128;2728;1704;196;9483;1097;2733;
111160301: Alvaredo;2;24;49;11;1;1444;112;96;
111160304: Cousso;- -;1;65;- -;- -;281;21;289;
111160305: Cristoval;55;1;90;3;1;257;3;- -;
111160307: Fiães;275;5;501;99;2;294;8;34;
111160308: Gave;236;12;90;37;30;63;9;- -;
111160311: Paderne;10;12;241;97;3;1394;170;72;
111160313: Penso;1;- -;117;10;7;854;56;16;
111160317: São Paio;69;9;113;28;7;572;119;83;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;976;22;727;189;109;1221;180;1431;
111160320: União das freguesias de Chaviães e Paços;2;2;164;715;3;678;20;- -;
111160321: União das freguesias de Parada do Monte e Cubalhão;157;29;283;30;18;1075;262;569;
111160322: União das freguesias de Prado e Remoães;1;4;109;420;6;622;49;122;
111160323: União das freguesias de Vila e Roussas;25;7;179;65;9;728;88;21;
1111604: Monção;1754;228;6290;610;279;22816;1892;914;
111160401: Abedim;5;- -;362;21;2;603;103;3;
111160404: Barbeita;15;13;250;11;1;1239;81;24;
111160405: Barroças e Taias;3;- -;141;6;1;565;32;29;
111160406: Bela;3;3;229;16;2;1027;96;13;
111160407: Cambeses;1;2;102;12;- -;432;43;- -;
111160410: Lara;7;7;114;- -;- -;717;61;2;
111160411: Longos Vales;66;8;550;66;2;1365;126;1;
111160415: Merufe;588;63;776;165;40;3645;210;62;
111160418: Moreira;8;- -;199;35;2;873;25;110;
111160420: Pias;67;2;383;25;- -;1349;102;99;
111160421: Pinheiros;- -;- -;23;- -;- -;296;16;39;
111160422: Podame;2;4;200;- -;2;611;27;- -;
111160423: Portela;- -;- -;19;- -;- -;223;48;12;
111160424: Riba de Mouro;285;16;400;54;181;1445;210;202;
111160427: Segude;13;- -;202;5;2;607;19;25;
111160428: Tangil;184;23;412;44;13;1323;171;146;
111160431: Trute;10;40;150;30;- -;561;- -;69;
111160434: União das freguesias de Anhões e Luzio;204;3;363;19;13;341;22;27;
111160435: União das freguesias de Ceivães e Badim;3;3;236;13;2;436;61;6;
111160436: União das freguesias de Mazedo e Cortes;9;13;347;34;9;1991;36;5;
111160437: União das freguesias de Messegães, Valadares e Sá;10;6;226;2;6;599;23;- -;
111160438: União das freguesias de Monção e Troviscoso;9;3;155;- -;- -;762;254;- -;
111160439: União das freguesias de Sago, Lordelo e Parada;262;15;391;49;- -;1267;80;11;
111160440: União das freguesias de Troporiz e Lapela;- -;4;60;3;1;539;46;29;
1111605: Paredes de Coura;2560;179;4792;555;167;7418;1398;1388;
111160501: Agualonga;3;7;171;3;- -;283;19;- -;
111160503: Castanheira;117;- -;152;37;11;298;65;312;
111160505: Coura;37;8;168;16;2;453;46;- -;
111160507: Cunha;112;7;307;21;5;481;100;468;
111160510: Infesta;44;9;335;58;4;475;77;- -;
111160513: Mozelos;121;6;149;20;4;390;70;1;
111160514: Padornelo;100;4;429;35;12;308;99;18;
111160515: Parada;114;12;198;29;24;363;123;68;
111160519: Romarigães;10;3;58;31;5;172;9;7;
111160520: Rubiães;67;15;336;5;8;682;86;97;
111160522: União das freguesias de Bico e Cristelo;709;16;817;115;35;600;56;100;
111160523: União das freguesias de Cossourado e Linhares;40;33;265;35;21;534;71;213;
111160524: União das freguesias de Formariz e Ferreira;548;16;510;66;19;909;297;102;
111160525: União das freguesias de Insalde e Porreiras;247;32;163;14;4;637;91;- -;
111160526: União das freguesias de Paredes de Coura e Resende;81;8;509;52;9;587;164;2;
111160521: Vascões;210;3;225;18;4;246;25;- -;
1111606: Ponte da Barca;1706;124;1100;470;161;9507;16903;1777;
111160601: Azias;150;7;55;31;19;362;75;- -;
111160602: Boivães;38;3;5;16;4;586;30;17;
111160603: Bravães;34;1;17;17;7;854;89;- -;
111160604: Britelo;105;4;36;4;16;343;32;16;
111160606: Cuide de Vila Verde;30;2;31;3;1;422;26;- -;
111160611: Lavradas;92;2;130;15;3;1492;127;- -;
111160612: Lindoso;366;- -;74;78;51;492;231;111;
111160613: Nogueira;6;- -;15;- -;2;180;- -;- -;
111160614: Oleiros;102;16;50;30;2;356;17;- -;
111160619: Sampriz;95;5;37;91;- -;629;111;16;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;82;5;101;31;- -;1081;150;36;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;203;19;53;81;28;272;54;812;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;180;4;274;41;7;1170;15819;426;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);88;- -;65;26;6;318;35;136;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);116;14;86;4;11;415;61;203;
111160623: Vade (São Pedro);10;40;14;- -;- -;360;18;- -;
111160624: Vade (São Tomé);9;2;57;2;4;175;28;4;
1111607: Ponte de Lima;5392;604;6667;2122;217;42089;13469;2299;
111160701: Anais;35;21;206;37;1;2029;225;6;
111160752: Arca e Ponte de Lima;137;94;47;2;4;348;60;5;
111160704: Arcozelo;198;2;240;39;2;1897;224;21;
111160753: Ardegão, Freixo e Mato;754;16;458;26;4;1972;227;1;
111160754: Associação de freguesias do Vale do Neiva;118;27;467;7;- -;1351;84;66;
111160755: Bárrio e Cepões;9;2;105;20;9;1675;190;74;
111160707: Beiral do Lima;141;23;224;17;5;974;327;4;
111160708: Bertiandos;46;4;16;1;- -;259;58;2;
111160709: Boalhosa;23;1;82;- -;- -;138;3;- -;
111160710: Brandara;3;1;12;- -;2;291;21;60;
111160756: Cabaços e Fojo Lobal;113;24;319;276;3;1443;320;148;
111160757: Cabração e Moreira do Lima;111;17;152;103;7;1776;912;208;
111160713: Calheiros;29;11;190;74;8;1495;532;68;
111160714: Calvelo;225;6;161;12;5;409;51;- -;
111160716: Correlhã;560;32;156;134;8;2875;519;- -;
111160717: Estorãos;33;15;95;61;9;695;78;31;
111160718: Facha;29;4;173;74;13;1408;187;34;
111160719: Feitosa;41;3;39;3;31;293;9;3;
111160721: Fontão;495;12;60;23;13;1004;138;- -;
