Statistical table extracted on October 13, 2022 (08:20:39),,,,,,
http://www.ine.pt,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Geographic localization (NUTS -2013);Tillage area (ha) of agricultural holdings by Geographic localization (NUTS -2013) and Tillage methods -  Decennial (1) ;;;;;,,,,,,,
;Data reference period;;;;;,,,,,,,
;2019;;;;;,,,,,,,
;Tillage methods;;;;;,,,,,,,
;Total;Conventional tillage;Low tillage;Zonal (or strip) tillage;Direct seeding;,,,,,,,
;ha ;ha ;ha ;ha ;ha ;,,,,,,,
PT: Portugal;733845;322707;384961;9822;16355;,,,,,,,
1: Continente;732362;321402;384783;9822;16355;,,,,,,,
11: Norte;109471;99531;8931;852;157;,,,,,,,
111: Alto Minho;7413;6872;365;155;22;,,,,,,,
1111601: Arcos de Valdevez;601;540;16;42;3;,,,,,,,
111160101: Aboim das Choças;9;9;- -;- -;- -;,,,,,,,
111160102: Aguiã;10;10;- -;- -;- -;,,,,,,,
111160104: Ázere;8;8;- -;- -;- -;,,,,,,,
111160105: Cabana Maior;1;1;- -;- -;- -;,,,,,,,
111160106: Cabreiro;9;9;- -;- -;- -;,,,,,,,
111160108: Cendufe;6;6;- -;- -;- -;,,,,,,,
111160109: Couto;7;7;- -;- -;- -;,,,,,,,
111160113: Gavieira;13;13;- -;- -;- -;,,,,,,,
111160115: Gondoriz;45;44;0;- -;- -;,,,,,,,
111160142: Jolda (São Paio);7;7;- -;- -;- -;,,,,,,,
111160121: Miranda;6;6;0;- -;- -;,,,,,,,
111160122: Monte Redondo;5;5;- -;- -;- -;,,,,,,,
111160123: Oliveira;17;17;- -;- -;- -;,,,,,,,
111160124: Paçô;22;22;- -;- -;- -;,,,,,,,
111160125: Padroso;60;18;- -;42;- -;,,,,,,,
111160128: Prozelo;16;16;- -;0;- -;,,,,,,,
111160131: Rio de Moinhos;15;15;- -;- -;- -;,,,,,,,
111160130: Rio Frio;19;19;- -;- -;- -;,,,,,,,
111160133: Sabadim;14;14;- -;- -;- -;,,,,,,,
111160144: Senharei;12;12;- -;- -;- -;,,,,,,,
111160145: Sistelo;7;7;- -;- -;- -;,,,,,,,
111160146: Soajo;7;7;0;- -;- -;,,,,,,,
111160152: União das freguesias de Alvora e Loureda;27;27;- -;- -;- -;,,,,,,,
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;11;11;- -;- -;- -;,,,,,,
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;14;13;- -;- -;0;,,,,,,,
111160155: União das freguesias de Eiras e Mei;19;19;- -;- -;- -;,,,,,,,
111160156: União das freguesias de Grade e Carralcova;16;16;- -;- -;- -;,,,,,,,
111160157: União das freguesias de Guilhadeses e Santar;26;20;3;- -;2;,,,,,,,
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;18;18;- -;- -;- -;,,,,,,,
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);23;23;- -;- -;- -;,,,,,,,
111160160: União das freguesias de Portela e Extremo;5;5;- -;- -;- -;,,,,,,,
111160161: União das freguesias de São Jorge e Ermelo;18;18;- -;- -;- -;,,,,,,,
111160162: União das freguesias de Souto e Tabaçô;28;28;- -;- -;- -;,,,,,,,
111160163: União das freguesias de Távora (Santa Maria e São Vicente);34;22;12;- -;- -;,,,,,,,
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;14;14;- -;- -;- -;,,,,,,
111160149: Vale;33;33;- -;- -;- -;,,,,,,,
1111602: Caminha;218;171;24;22;- -;,,,,,,,
111160201: Âncora;12;12;- -;- -;- -;,,,,,,,
111160205: Argela;12;12;- -;- -;- -;,,,,,,,
111160209: Dem;7;7;- -;- -;- -;,,,,,,,
111160211: Lanhelas;4;4;- -;- -;- -;,,,,,,,
111160214: Riba de Âncora;22;20;1;1;- -;,,,,,,,
111160215: Seixas;3;3;- -;- -;- -;,,,,,,,
111160221: União das freguesias de Arga (Baixo, Cima e São João);14;14;- -;- -;- -;,,,,,,
