
Quadro extraído em 17 de Outubro de 2022 (00:03:55)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de trabalho da mão-de-obra agrícola (UTA) por Localização geográfica (NUTS - 2013) e Tipo de mão-de-obra -  Decenal (2) ;;;;;;;;;
;Período de referência dos dados;;;;;;;;;
;2009;;;;;;;;;
;Tipo de mão-de-obra;;;;;;;;;
;Mão-de-obra agrícola total;Mão-de-obra agrícola familiar;Produtor;Cônjuge;Outros membros da família;Mão-de-obra agrícola não familiar;Permanente;Eventual;Mão-de-obra não contratada pelo produtor;
;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;UTA ;
PT: Portugal;367393;294415;160354;90170;43891;72978;41369;27621;3989;
1: Continente;341502;272783;147342;85775;39666;68718;38960;26000;3759;
11: Norte;148088;127088;65654;40011;21423;21001;9768;10148;1085;
111: Alto Minho;19355;18145;9191;5569;3385;1209;677;472;61;
1111601: Arcos de Valdevez;3196;3062;1597;1015;450;135;62;66;7;
111160101: Aboim das Choças;51;50;24;19;8;1;0;0;0;
111160102: Aguiã;68;66;38;20;7;2;1;1;0;
111160104: Ázere;31;29;17;10;2;2;0;1;0;
111160105: Cabana Maior;34;33;19;11;3;0;0;0;0;
111160106: Cabreiro;178;177;90;57;30;2;0;1;0;
111160108: Cendufe;72;69;32;30;6;3;0;3;0;
111160109: Couto;41;38;19;13;6;3;1;2;0;
111160113: Gavieira;137;135;72;49;14;2;1;1;0;
111160115: Gondoriz;175;170;80;51;39;5;1;3;1;
111160142: Jolda (São Paio);53;48;22;17;9;5;2;3;0;
111160121: Miranda;74;73;44;20;9;1;0;0;0;
111160122: Monte Redondo;43;42;22;16;5;2;0;2;0;
111160123: Oliveira;44;39;20;12;8;4;3;1;0;
111160124: Paçô;71;49;23;18;8;22;18;4;0;
111160125: Padroso;87;87;44;27;16;0;0;0;0;
111160128: Prozelo;63;61;35;20;6;3;0;2;0;
111160131: Rio de Moinhos;71;70;41;22;7;1;0;1;0;
111160130: Rio Frio;212;212;118;69;24;1;0;0;0;
111160133: Sabadim;83;80;38;27;16;2;1;2;0;
111160144: Senharei;99;98;52;27;20;1;0;0;0;
111160145: Sistelo;117;116;58;40;18;1;0;0;0;
111160146: Soajo;181;178;99;59;21;3;1;1;0;
111160152: União das freguesias de Alvora e Loureda;74;72;42;24;7;2;1;1;0;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;30;28;14;10;4;2;1;1;0;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;44;37;19;12;6;7;4;3;0;
111160155: União das freguesias de Eiras e Mei;47;47;26;16;5;1;0;0;0;
111160156: União das freguesias de Grade e Carralcova;114;109;56;36;18;4;1;3;0;
111160157: União das freguesias de Guilhadeses e Santar;62;58;30;19;9;4;1;2;0;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;102;99;47;28;24;3;1;2;0;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);85;70;35;27;9;15;11;4;0;
111160160: União das freguesias de Portela e Extremo;81;81;40;30;11;1;0;0;0;
111160161: União das freguesias de São Jorge e Ermelo;102;93;53;28;12;9;4;5;0;
111160162: União das freguesias de Souto e Tabaçô;72;67;37;21;10;5;0;4;1;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);150;144;74;50;20;6;1;5;0;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;125;121;57;40;24;5;2;3;0;
111160149: Vale;123;118;61;44;13;6;3;2;0;
1111602: Caminha;731;672;320;158;195;59;46;11;2;
111160201: Âncora;29;29;13;4;12;0;0;0;0;
111160205: Argela;52;51;21;9;21;1;0;1;0;
111160209: Dem;63;61;31;12;18;2;1;1;0;
111160211: Lanhelas;13;13;6;3;4;0;0;0;0;
111160214: Riba de Âncora;80;80;41;14;25;1;0;0;0;
111160215: Seixas;10;6;3;1;2;4;4;0;0;
111160221: União das freguesias de Arga (Baixo, Cima e São João);86;83;37;24;22;3;1;1;0;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;27;26;14;7;5;1;1;0;0;
111160223: União das freguesias de Gondar e Orbacém;141;141;63;42;36;1;1;0;0;
111160224: União das freguesias de Moledo e Cristelo;15;15;8;3;4;0;0;0;0;
111160225: União das freguesias de Venade e Azevedo;92;90;43;18;29;2;0;1;0;
111160217: Vila Praia de Âncora;60;32;17;7;8;28;27;0;0;
111160218: Vilar de Mouros;45;33;18;11;5;12;7;5;0;
111160220: Vile;17;13;8;3;3;4;4;0;0;
1111603: Melgaço;1307;1229;687;356;186;79;29;46;4;
111160301: Alvaredo;137;127;71;36;19;10;4;6;0;
111160304: Cousso;36;35;23;10;3;1;1;0;0;
111160305: Cristoval;46;45;23;12;10;1;0;1;0;
111160307: Fiães;62;60;34;15;11;2;0;0;2;
111160308: Gave;56;56;34;16;6;0;0;0;0;
111160311: Paderne;162;141;81;35;25;21;10;11;0;
111160313: Penso;80;68;36;24;8;11;7;4;0;
111160317: São Paio;103;100;52;35;12;3;0;3;0;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;198;197;109;54;33;2;1;1;0;
111160320: União das freguesias de Chaviães e Paços;77;70;37;23;9;7;2;6;0;
111160321: União das freguesias de Parada do Monte e Cubalhão;119;117;66;36;15;2;1;0;0;
111160322: União das freguesias de Prado e Remoães;86;78;46;22;10;8;3;5;0;
111160323: União das freguesias de Vila e Roussas;145;136;74;38;25;9;1;8;0;
1111604: Monção;2997;2838;1422;900;516;160;55;93;12;
111160401: Abedim;69;69;29;28;12;0;0;0;0;
111160404: Barbeita;122;113;57;34;22;9;0;9;0;
111160405: Barroças e Taias;65;63;26;22;15;1;0;1;0;
111160406: Bela;104;100;47;28;25;5;0;4;0;
111160407: Cambeses;54;52;27;19;6;2;0;2;0;
111160410: Lara;76;66;33;20;13;10;4;3;4;
111160411: Longos Vales;195;188;97;64;27;7;3;4;0;
111160415: Merufe;356;342;165;113;64;14;0;13;2;
111160418: Moreira;113;105;55;33;16;8;3;5;0;
111160420: Pias;192;185;96;57;32;7;3;4;0;
111160421: Pinheiros;75;56;28;19;10;19;14;4;0;
111160422: Podame;72;70;35;22;14;1;0;1;0;
111160423: Portela;53;52;26;20;6;1;0;1;0;
111160424: Riba de Mouro;214;209;119;54;36;4;2;2;0;
111160427: Segude;89;86;43;30;13;3;1;2;0;
111160428: Tangil;256;254;129;83;42;2;0;2;0;
111160431: Trute;41;41;19;12;10;0;0;0;0;
111160434: União das freguesias de Anhões e Luzio;128;127;58;46;23;1;1;0;0;
111160435: União das freguesias de Ceivães e Badim;122;117;60;33;24;5;0;4;0;
111160436: União das freguesias de Mazedo e Cortes;198;172;92;50;30;26;14;12;0;
