
Statistical table extracted on October 11, 2022 (20:21:28)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;;;
;;Sex;;;;;;;
;;MF;;;;;;;
;;Age group;;;;;;;
;;Total;16 - 24 years;25 - 34 years;35 - 44 years;45 - 54 years;55 - 64 years;65 and more years;
;;Relationship;;;;;;;
;;Total;;;;;;;
;;Level of education;;;;;;;
;;Total;;;;;;;
;;No. ;No. ;No. ;No. ;No. ;No. ;No. ;
2009;PT: Portugal;793169;117749;64823;78124;120348;149792;262333;
;1: Continente;709928;97709;55656;67103;106646;137181;245633;
;11: Norte;302117;49223;25831;31291;46994;55026;93752;
;111: Alto Minho;37989;6281;3521;3797;5361;6958;12071;
;1111601: Arcos de Valdevez;5859;866;451;496;834;1113;2099;
;111160101: Aboim das Choças;95;19;4;12;12;22;26;
;111160102: Aguiã;117;20;11;4;19;28;35;
;111160104: Ázere;78;16;8;5;13;10;26;
;111160105: Cabana Maior;65;7;2;1;6;13;36;
;111160106: Cabreiro;268;32;13;23;29;52;119;
;111160108: Cendufe;110;9;6;9;24;22;40;
;111160109: Couto;74;11;4;5;11;14;29;
;111160113: Gavieira;237;28;14;21;39;54;81;
;111160115: Gondoriz;317;53;39;27;44;42;112;
;111160142: Jolda (São Paio);94;12;13;14;10;23;22;
;111160121: Miranda;151;21;6;11;24;20;69;
;111160122: Monte Redondo;104;19;10;13;15;15;32;
;111160123: Oliveira;91;19;5;10;15;13;29;
;111160124: Paçô;95;11;7;16;15;9;37;
;111160125: Padroso;126;14;10;11;14;30;47;
;111160128: Prozelo;150;16;19;12;22;27;54;
;111160131: Rio de Moinhos;114;10;12;5;19;15;53;
;111160130: Rio Frio;293;41;15;20;40;46;131;
;111160133: Sabadim;154;32;8;12;29;29;44;
;111160144: Senharei;142;24;10;11;31;18;48;
;111160145: Sistelo;193;27;8;17;13;45;83;
;111160146: Soajo;298;24;13;18;39;85;119;
;111160152: União das freguesias de Alvora e Loureda;143;15;7;11;19;40;51;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;63;3;5;8;11;6;30;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;126;20;14;11;26;14;41;
;111160155: União das freguesias de Eiras e Mei;133;29;5;10;17;42;30;
;111160156: União das freguesias de Grade e Carralcova;243;49;28;21;23;48;74;
;111160157: União das freguesias de Guilhadeses e Santar;162;34;9;15;30;21;53;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;165;22;24;14;33;27;45;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);131;22;7;10;14;35;43;
;111160160: União das freguesias de Portela e Extremo;174;20;11;13;21;33;76;
;111160161: União das freguesias de São Jorge e Ermelo;215;37;19;14;34;40;71;
;111160162: União das freguesias de Souto e Tabaçô;157;31;12;17;14;30;53;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);283;36;25;31;43;46;102;
