
Quadro extraído em 11 de Outubro de 2022 (08:46:18)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Superfície das culturas temporárias (ha) por Localização geográfica (NUTS - 2013), Tipo (culturas temporárias) e Importância -  Decenal (1) ;
;;Tipo (culturas temporárias);
;;Total;
;;Importância;
;;Total;
;;ha ;
2009;PT: Portugal;948470;
;1: Continente;923537;
;11: Norte;206068;
;111: Alto Minho;19731;
;1111601: Arcos de Valdevez;2651;
;111160101: Aboim das Choças;41;
;111160102: Aguiã;76;
;111160104: Ázere;45;
;111160105: Cabana Maior;5;
;111160106: Cabreiro;91;
;111160108: Cendufe;53;
;111160109: Couto;43;
;111160113: Gavieira;28;
;111160115: Gondoriz;152;
;111160142: Jolda (São Paio);47;
;111160121: Miranda;92;
;111160122: Monte Redondo;50;
;111160123: Oliveira;59;
;111160124: Paçô;47;
;111160125: Padroso;63;
;111160128: Prozelo;64;
;111160131: Rio de Moinhos;95;
;111160130: Rio Frio;200;
;111160133: Sabadim;84;
;111160144: Senharei;89;
;111160145: Sistelo;45;
;111160146: Soajo;39;
;111160152: União das freguesias de Alvora e Loureda;67;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;31;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;54;
;111160155: União das freguesias de Eiras e Mei;76;
;111160156: União das freguesias de Grade e Carralcova;94;
;111160157: União das freguesias de Guilhadeses e Santar;64;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;88;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);32;
;111160160: União das freguesias de Portela e Extremo;65;
;111160161: União das freguesias de São Jorge e Ermelo;109;
;111160162: União das freguesias de Souto e Tabaçô;92;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);122;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;105;
;111160149: Vale;145;
;1111602: Caminha;613;
;111160201: Âncora;22;
;111160205: Argela;50;
;111160209: Dem;31;
;111160211: Lanhelas;8;
;111160214: Riba de Âncora;72;
;111160215: Seixas;9;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);38;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;25;
;111160223: União das freguesias de Gondar e Orbacém;114;
;111160224: União das freguesias de Moledo e Cristelo;22;
;111160225: União das freguesias de Venade e Azevedo;97;
;111160217: Vila Praia de Âncora;36;
;111160218: Vilar de Mouros;76;
;111160220: Vile;11;
;1111603: Melgaço;395;
;111160301: Alvaredo;26;
;111160304: Cousso;23;
;111160305: Cristoval;20;
;111160307: Fiães;9;
;111160308: Gave;30;
;111160311: Paderne;46;
;111160313: Penso;27;
;111160317: São Paio;55;
;111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;18;
;111160320: União das freguesias de Chaviães e Paços;26;
;111160321: União das freguesias de Parada do Monte e Cubalhão;40;
;111160322: União das freguesias de Prado e Remoães;15;
