Statistical table extracted on October 18, 2022 (10:37:08);;;;
http://www.ine.pt;;;;
;;;;
;;;;
;;;;
Geographic localization (NUTS -2013);Average value of total standard output by hectare of utilised agricultural area (?/ ha) by Geographic localization (NUTS -2013) -  Decennial (1) ;;;
;Data reference period;;;
;2019;;;
;?/ ha ;;;
PT: Portugal;1705;;;
1: Continente;1622,2;;;
11: Norte;1978,7;;;
111: Alto Minho;1153,9;;;
1111601: Arcos de Valdevez;551,5;;;
111160101: Aboim das Choças;1921,9;;;
111160102: Aguiã;1642,8;;;
111160104: Ázere;2428,6;;;
111160105: Cabana Maior;152,7;;;
111160106: Cabreiro;221,4;;;
111160108: Cendufe;1292,5;;;
111160109: Couto;2053,3;;;
111160113: Gavieira;444,4;;;
111160115: Gondoriz;618,5;;;
111160142: Jolda (São Paio);2473,7;;;
111160121: Miranda;565,7;;;
111160122: Monte Redondo;1679,5;;;
111160123: Oliveira;2887,1;;;
111160124: Paçô;2633,9;;;
111160125: Padroso;1811,2;;;
111160128: Prozelo;1384,4;;;
111160131: Rio de Moinhos;1467,9;;;
111160130: Rio Frio;606;;;
111160133: Sabadim;1054,1;;;
111160144: Senharei;1489,6;;;
111160145: Sistelo;300,9;;;
111160146: Soajo;238,8;;;
111160152: União das freguesias de Alvora e Loureda;405;;;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;1476,9;;;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;2034,7;;;
111160155: União das freguesias de Eiras e Mei;659,3;;;
111160156: União das freguesias de Grade e Carralcova;939,3;;;
111160157: União das freguesias de Guilhadeses e Santar;3093,5;;;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;2040,9;;;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);1559,3;;;
111160160: União das freguesias de Portela e Extremo;744,8;;;
111160161: União das freguesias de São Jorge e Ermelo;282,3;;;
111160162: União das freguesias de Souto e Tabaçô;1646,2;;;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);1896,1;;;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;1501;;;
111160149: Vale;795,5;;;
1111602: Caminha;1058,6;;;
111160201: Âncora;4188,5;;;
111160205: Argela;1151,9;;;
111160209: Dem;544,6;;;
111160211: Lanhelas;351,9;;;
111160214: Riba de Âncora;1712,3;;;
111160215: Seixas;2157,5;;;
111160221: União das freguesias de Arga (Baixo, Cima e São João);262;;;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;2077,4;;;
111160223: União das freguesias de Gondar e Orbacém;513;;;
111160224: União das freguesias de Moledo e Cristelo;421,9;;;
111160225: União das freguesias de Venade e Azevedo;396,4;;;
111160217: Vila Praia de Âncora;911,2;;;
111160218: Vilar de Mouros;1471,5;;;
111160220: Vile;26160,3;;;
1111603: Melgaço;494,9;;;
111160301: Alvaredo;2869,3;;;
111160304: Cousso;604,8;;;
111160305: Cristoval;787,8;;;
111160307: Fiães;536,2;;;
111160308: Gave;234,8;;;
111160311: Paderne;2941,1;;;
111160313: Penso;1252,9;;;
111160317: São Paio;701,6;;;
111160319: União das freguesias de Castro Laboreiro e Lamas de Mouro;222,1;;;
111160320: União das freguesias de Chaviães e Paços;1503,6;;;
111160321: União das freguesias de Parada do Monte e Cubalhão;230,8;;;
111160322: União das freguesias de Prado e Remoães;3414,4;;;
111160323: União das freguesias de Vila e Roussas;1907,1;;;
1111604: Monção;1577,4;;;
111160401: Abedim;810,9;;;
111160404: Barbeita;3566,7;;;
111160405: Barroças e Taias;2295,5;;;
111160406: Bela;3411,6;;;
111160407: Cambeses;4766,4;;;
111160410: Lara;2882,1;;;
111160411: Longos Vales;3303,6;;;
111160415: Merufe;675,5;;;
111160418: Moreira;3144;;;
111160420: Pias;3505,5;;;
111160421: Pinheiros;3130,7;;;
111160422: Podame;3126,2;;;
111160423: Portela;3160,5;;;
111160424: Riba de Mouro;961,4;;;
111160427: Segude;2601,9;;;
111160428: Tangil;771,4;;;
111160431: Trute;2409,7;;;
111160434: União das freguesias de Anhões e Luzio;292,9;;;
111160435: União das freguesias de Ceivães e Badim;1600;;;
111160436: União das freguesias de Mazedo e Cortes;3601,5;;;
111160437: União das freguesias de Messegães, Valadares e Sá;1890;;;
111160438: União das freguesias de Monção e Troviscoso;3621,7;;;
111160439: União das freguesias de Sago, Lordelo e Parada;1040,5;;;
111160440: União das freguesias de Troporiz e Lapela;2830,6;;;
1111605: Paredes de Coura;1276,3;;;
111160501: Agualonga;242,3;;;
111160503: Castanheira;913,1;;;
111160505: Coura;545,3;;;
111160507: Cunha;572,8;;;
111160510: Infesta;944,2;;;
111160513: Mozelos;1946,5;;;
111160514: Padornelo;1319,3;;;
111160515: Parada;1150,2;;;
111160519: Romarigães;4319,8;;;
111160520: Rubiães;1436,3;;;
111160522: União das freguesias de Bico e Cristelo;1312,8;;;
111160523: União das freguesias de Cossourado e Linhares;1864,2;;;
111160524: União das freguesias de Formariz e Ferreira;2427,6;;;
111160525: União das freguesias de Insalde e Porreiras;438,7;;;
111160526: União das freguesias de Paredes de Coura e Resende;1184,5;;;
111160521: Vascões;851,6;;;
1111606: Ponte da Barca;572,9;;;
111160601: Azias;965,3;;;
111160602: Boivães;1365,5;;;
111160603: Bravães;2110,5;;;
111160604: Britelo;201,7;;;
111160606: Cuide de Vila Verde;2352,7;;;
111160611: Lavradas;2218,1;;;
111160612: Lindoso;156,4;;;
111160613: Nogueira;2131,4;;;
111160614: Oleiros;3146,6;;;
111160619: Sampriz;1596,5;;;
111160626: União das freguesias de Crasto, Ruivos e Grovelas;3003,3;;;
111160627: União das freguesias de Entre Ambos-os-Rios, Ermida e Germil;209,9;;;
111160628: União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães;3861,9;;;
111160629: União das freguesias de Touvedo (São Lourenço e Salvador);1643,1;;;
111160630: União das freguesias de Vila Chã (São João Baptista e Santiago);248,5;;;
111160623: Vade (São Pedro);2139,1;;;
111160624: Vade (São Tomé);5597,9;;;
1111607: Ponte de Lima;2566,9;;;
111160701: Anais;2164;;;
111160752: Arca e Ponte de Lima;5948,6;;;
111160704: Arcozelo;2407,9;;;
111160753: Ardegão, Freixo e Mato;4699;;;
111160754: Associação de freguesias do Vale do Neiva;3051,2;;;
111160755: Bárrio e Cepões;1609,4;;;
111160707: Beiral do Lima;2716,9;;;
111160708: Bertiandos;3702,8;;;
111160709: Boalhosa;824,9;;;
111160710: Brandara;3258,8;;;
111160756: Cabaços e Fojo Lobal;2418,8;;;
111160757: Cabração e Moreira do Lima;859,7;;;
111160713: Calheiros;1970,8;;;
111160714: Calvelo;4680,2;;;
111160716: Correlhã;4296;;;
111160717: Estorãos;901,7;;;
111160718: Facha;1153,3;;;
111160719: Feitosa;3549,4;;;
111160721: Fontão;6310,3;;;
111160758: Fornelos e Queijada;2163,3;;;
111160724: Friastelas;3139,6;;;
111160726: Gandra;3007,6;;;
111160727: Gemieira;2327;;;
111160728: Gondufe;2044,4;;;
111160729: Labruja;896,2;;;
111160759: Labrujó, Rendufe e Vilar do Monte;831,5;;;
111160760: Navió e Vitorino dos Piães;2262,3;;;
111160734: Poiares;7295,2;;;
111160744: Rebordões (Santa Maria);1121,3;;;
111160747: Rebordões (Souto);1908,5;;;
111160737: Refóios do Lima;2394,6;;;
111160739: Ribeira;2572,3;;;
111160740: Sá;7019,1;;;
111160742: Santa Comba;3173,5;;;
111160743: Santa Cruz do Lima;2055,7;;;
111160703: São Pedro d'Arcos;1984,5;;;
111160745: Seara;2410,5;;;
111160746: Serdedelo;1617,8;;;
111160750: Vitorino das Donas;2529,8;;;
1111608: Valença;2858,9;;;
111160802: Boivão;528,5;;;
111160803: Cerdal;2008,5;;;
111160805: Fontoura;2296,9;;;
111160806: Friestas;2621,5;;;
111160808: Ganfei;2903,5;;;
111160812: São Pedro da Torre;4224,5;;;
111160817: União das freguesias de Gandra e Taião;1582;;;
111160818: União das freguesias de Gondomil e Sanfins;3073,7;;;
111160819: União das freguesias de São Julião e Silva;5193,4;;;
111160820: União das freguesias de Valença, Cristelo Covo e Arão;2854,5;;;
111160816: Verdoejo;10905,7;;;
1111609: Viana do Castelo;2145,3;;;
111160901: Afife;1567,3;;;
111160902: Alvarães;4061,9;;;
111160903: Amonde;1306,7;;;
111160904: Anha;4290,8;;;
111160905: Areosa;1242,6;;;
111160908: Carreço;2924,2;;;
111160910: Castelo do Neiva;3165,9;;;
111160940: Chafé;4648,2;;;
111160911: Darque;3654,3;;;
111160914: Freixieiro de Soutelo;613,7;;;
111160915: Lanheses;2582,4;;;
111160920: Montaria;338;;;
111160922: Mujães;4538,6;;;
111160925: Outeiro;277,3;;;
111160926: Perre;3440,8;;;
111160928: Santa Marta de Portuzelo;4227,4;;;
111160923: São Romão de Neiva;3017,5;;;
111160941: União das freguesias de Barroselas e Carvoeiro;2109,7;;;
111160942: União das freguesias de Cardielos e Serreleis;6356,5;;;
111160943: União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão;2901,3;;;
111160944: União das freguesias de Mazarefes e Vila Fria;6738,4;;;
111160945: União das freguesias de Nogueira, Meixedo e Vilar de Murteda;1831,3;;;
111160946: União das freguesias de Subportela, Deocriste e Portela Susã;2834,9;;;
111160947: União das freguesias de Torre e Vila Mou;3498,3;;;
111160948: União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela;3512,4;;;
111160938: Vila de Punhe;8396,1;;;
111160935: Vila Franca;10188,3;;;
1111610: Vila Nova de Cerveira;1676,6;;;
111161003: Cornes;2412;;;
111161004: Covas;3105,2;;;
111161006: Gondarém;1229,6;;;
111161007: Loivo;5300,3;;;
111161009: Mentrestido;745;;;
111161012: Sapardos;450,3;;;
111161013: Sopo;640,6;;;
111161016: União das freguesias de Campos e Vila Meã;2232,9;;;
111161017: União das freguesias de Candemil e Gondar;1520,4;;;
111161018: União das freguesias de Reboreda e Nogueira;5102,6;;;
111161019: União das freguesias de Vila Nova de Cerveira e Lovelhe;921,3;;;
112: Cávado;6051,7;;;
1120301: Amares;7283,2;;;
112030102: Barreiros;4381;;;
112030104: Bico;2345,1;;;
112030119: Bouro (Santa Maria);3666,6;;;
112030120: Bouro (Santa Marta);1571,8;;;
112030105: Caires;3739,5;;;
