
Quadro extraído em 13 de Outubro de 2022 (17:58:56)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2013);Explorações agrícolas com culturas permanentes regadas (N.º) por Localização geográfica (NUTS - 2013), Método de rega utilizado e Tipo (culturas permanentes) -  Decenal (1) ;;;;;;;;
;;Método de rega utilizado;;;;;;;;
;;Total;;;;;;;;
;;Tipo (culturas permanentes);;;;;;;;
;;Total;Frutos frescos (excepto citrinos);Citrinos;Frutos sub-tropicais;Frutos de casca rija;Olival;Vinha;Outras culturas permanentes;
;;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
2019;PT: Portugal;702589;244472;118993;78722;61146;137934;290849;707;
;1: Continente;645516;231306;109516;35213;59461;137934;272846;587;
;11: Norte;362299;93471;35289;22697;35675;37239;228335;- -;
;111: Alto Minho;92970;7683;4233;2069;4589;2014;84756;- -;
;1111601: Arcos de Valdevez;20484;1332;648;144;1548;540;18504;- -;
;111160101: Aboim das Choças;569;37;18;4;43;15;514;- -;
;111160102: Aguiã;569;37;18;4;43;15;514;- -;
;111160104: Ázere;569;37;18;4;43;15;514;- -;
;111160105: Cabana Maior;569;37;18;4;43;15;514;- -;
;111160106: Cabreiro;569;37;18;4;43;15;514;- -;
;111160108: Cendufe;569;37;18;4;43;15;514;- -;
;111160109: Couto;569;37;18;4;43;15;514;- -;
;111160113: Gavieira;569;37;18;4;43;15;514;- -;
;111160115: Gondoriz;569;37;18;4;43;15;514;- -;
;111160142: Jolda (São Paio);569;37;18;4;43;15;514;- -;
;111160121: Miranda;569;37;18;4;43;15;514;- -;
;111160122: Monte Redondo;569;37;18;4;43;15;514;- -;
;111160123: Oliveira;569;37;18;4;43;15;514;- -;
;111160124: Paçô;569;37;18;4;43;15;514;- -;
;111160125: Padroso;569;37;18;4;43;15;514;- -;
;111160128: Prozelo;569;37;18;4;43;15;514;- -;
;111160131: Rio de Moinhos;569;37;18;4;43;15;514;- -;
;111160130: Rio Frio;569;37;18;4;43;15;514;- -;
;111160133: Sabadim;569;37;18;4;43;15;514;- -;
;111160144: Senharei;569;37;18;4;43;15;514;- -;
;111160145: Sistelo;569;37;18;4;43;15;514;- -;
;111160146: Soajo;569;37;18;4;43;15;514;- -;
;111160152: União das freguesias de Alvora e Loureda;569;37;18;4;43;15;514;- -;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;569;37;18;4;43;15;514;- -;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;569;37;18;4;43;15;514;- -;
;111160155: União das freguesias de Eiras e Mei;569;37;18;4;43;15;514;- -;
;111160156: União das freguesias de Grade e Carralcova;569;37;18;4;43;15;514;- -;
;111160157: União das freguesias de Guilhadeses e Santar;569;37;18;4;43;15;514;- -;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;569;37;18;4;43;15;514;- -;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);569;37;18;4;43;15;514;- -;
;111160160: União das freguesias de Portela e Extremo;569;37;18;4;43;15;514;- -;
;111160161: União das freguesias de São Jorge e Ermelo;569;37;18;4;43;15;514;- -;
;111160162: União das freguesias de Souto e Tabaçô;569;37;18;4;43;15;514;- -;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);569;37;18;4;43;15;514;- -;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;569;37;18;4;43;15;514;- -;
;111160149: Vale;569;37;18;4;43;15;514;- -;
;1111602: Caminha;1148;84;70;42;28;28;1092;- -;
;111160201: Âncora;82;6;5;3;2;2;78;- -;
