
Statistical table extracted on October 11, 2022 (22:36:52)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;;
;;Sex;;;;;
;;MF;;;;;
;;Age group;;;;;
;;Total;;;;;
;;Relationship;;;;;
;;Total;;;;;
;;Level of education;;;;;
;;Total;None;Basic;Secondary / post-secondary;Superior;
;;No. ;No. ;No. ;No. ;No. ;
2019;PT: Portugal;665571;77113;417924;95492;75042;
;1: Continente;599497;69110;376008;85343;69036;
;11: Norte;257718;31554;161233;35410;29521;
;111: Alto Minho;28806;4356;17959;4012;2479;
;1111601: Arcos de Valdevez;4512;902;2773;551;286;
;111160101: Aboim das Choças;94;15;61;11;7;
;111160102: Aguiã;99;24;68;5;2;
;111160104: Ázere;68;3;48;12;5;
;111160105: Cabana Maior;63;24;34;5;- -;
;111160106: Cabreiro;204;66;107;23;8;
;111160108: Cendufe;50;5;35;6;4;
;111160109: Couto;104;13;70;17;4;
;111160113: Gavieira;271;103;114;36;18;
;111160115: Gondoriz;298;34;219;29;16;
;111160142: Jolda (São Paio);58;4;33;11;10;
;111160121: Miranda;117;40;72;3;2;
;111160122: Monte Redondo;69;5;55;6;3;
;111160123: Oliveira;95;8;68;14;5;
;111160124: Paçô;86;11;49;13;13;
;111160125: Padroso;43;9;29;3;2;
;111160128: Prozelo;134;28;88;17;1;
;111160131: Rio de Moinhos;106;38;49;12;7;
;111160130: Rio Frio;151;41;88;19;3;
;111160133: Sabadim;99;13;73;10;3;
;111160144: Senharei;79;16;59;3;1;
;111160145: Sistelo;135;46;73;10;6;
;111160146: Soajo;268;44;173;42;9;
;111160152: União das freguesias de Alvora e Loureda;119;15;76;14;14;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;72;26;32;9;5;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;90;15;32;21;22;
;111160155: União das freguesias de Eiras e Mei;84;13;56;10;5;
;111160156: União das freguesias de Grade e Carralcova;177;29;120;21;7;
;111160157: União das freguesias de Guilhadeses e Santar;146;32;82;19;13;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;114;25;67;13;9;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);80;10;53;15;2;
;111160160: União das freguesias de Portela e Extremo;80;7;56;10;7;
;111160161: União das freguesias de São Jorge e Ermelo;152;29;96;17;10;
;111160162: União das freguesias de Souto e Tabaçô;160;29;84;30;17;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);200;43;118;22;17;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;156;21;93;18;24;
;111160149: Vale;191;18;143;25;5;
;1111602: Caminha;968;141;628;114;85;
;111160201: Âncora;59;13;38;3;5;
;111160205: Argela;29;3;18;3;5;
;111160209: Dem;76;18;44;8;6;
;111160211: Lanhelas;17;- -;17;- -;- -;
;111160214: Riba de Âncora;129;26;83;12;8;
;111160215: Seixas;9;2;4;- -;3;
