
Statistical table extracted on October 11, 2022 (21:56:05)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;;
;;Sex;;;;
;;MF;;;;
;;Age group;;;;
;;Total;;;;
;;Relationship;;;;
;;Total;Sole holder;Spouse;Other family members;
;;Level of education;;;;
;;Total;;;;
;;No. ;No. ;No. ;No. ;
2009;PT: Portugal;793169;297381;228751;267037;
;1: Continente;709928;270507;208981;230440;
;11: Norte;302117;108912;83322;109883;
;111: Alto Minho;37989;12495;9614;15880;
;1111601: Arcos de Valdevez;5859;2140;1602;2117;
;111160101: Aboim das Choças;95;32;27;36;
;111160102: Aguiã;117;42;33;42;
;111160104: Ázere;78;25;18;35;
;111160105: Cabana Maior;65;26;17;22;
;111160106: Cabreiro;268;108;68;92;
;111160108: Cendufe;110;45;39;26;
;111160109: Couto;74;28;21;25;
;111160113: Gavieira;237;95;71;71;
;111160115: Gondoriz;317;104;82;131;
;111160142: Jolda (São Paio);94;31;25;38;
;111160121: Miranda;151;63;41;47;
;111160122: Monte Redondo;104;34;29;41;
;111160123: Oliveira;91;27;23;41;
;111160124: Paçô;95;32;25;38;
;111160125: Padroso;126;47;31;48;
;111160128: Prozelo;150;54;45;51;
;111160131: Rio de Moinhos;114;44;35;35;
;111160130: Rio Frio;293;127;83;83;
;111160133: Sabadim;154;50;40;64;
;111160144: Senharei;142;56;37;49;
;111160145: Sistelo;193;72;51;70;
;111160146: Soajo;298;134;94;70;
;111160152: União das freguesias de Alvora e Loureda;143;60;43;40;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;63;22;20;21;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;126;39;29;58;
;111160155: União das freguesias de Eiras e Mei;133;45;38;50;
;111160156: União das freguesias de Grade e Carralcova;243;76;61;106;
;111160157: União das freguesias de Guilhadeses e Santar;162;52;42;68;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;165;54;41;70;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);131;49;35;47;
;111160160: União das freguesias de Portela e Extremo;174;68;50;56;
;111160161: União das freguesias de São Jorge e Ermelo;215;77;52;86;
;111160162: União das freguesias de Souto e Tabaçô;157;52;42;63;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);283;103;83;97;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;227;79;62;86;
;111160149: Vale;271;88;69;114;
;1111602: Caminha;1308;385;283;640;
;111160201: Âncora;55;15;10;30;
;111160205: Argela;96;28;20;48;
;111160209: Dem;130;33;22;75;
;111160211: Lanhelas;31;8;7;16;
;111160214: Riba de Âncora;155;43;29;83;
;111160215: Seixas;18;4;2;12;
;111160221: União das freguesias de Arga (Baixo, Cima e São João);125;40;31;54;
;111160222: União das freguesias de Caminha (Matriz) e Vilarelho;47;16;13;18;
;111160223: União das freguesias de Gondar e Orbacém;275;83;65;127;
