
Statistical table extracted on October 11, 2022 (17:22:02)
http://www.ine.pt



Data reference period;Geographic localization (NUTS -2013);Familiar agricultural population (No.) by Geographic localization (NUTS -2013), Sex, Age group, Relationship and Level of education -  Decennial (1) ;;;
;;Sex;;;
;;MF;M;F;
;;Age group;;;
;;Total;;;
;;Relationship;;;
;;Total;;;
;;Level of education;;;
;;Total;;;
;;No. ;No. ;No. ;
1989;PT: Portugal;1974808;995482;979326;
;1: Continente;1799736;909805;889931;
;11: Norte;722991;361898;361093;
;111: Alto Minho;108018;50935;57083;
;1111601: Arcos de Valdevez;15182;7130;8052;
;111160101: Aboim das Choças;268;126;142;
;111160102: Aguiã;316;170;146;
;111160104: Ázere;141;62;79;
;111160105: Cabana Maior;295;132;163;
;111160106: Cabreiro;693;326;367;
;111160108: Cendufe;281;130;151;
;111160109: Couto;313;154;159;
;111160113: Gavieira;435;203;232;
;111160115: Gondoriz;723;337;386;
;111160142: Jolda (São Paio);282;139;143;
;111160121: Miranda;469;204;265;
;111160122: Monte Redondo;294;140;154;
;111160123: Oliveira;188;89;99;
;111160124: Paçô;196;93;103;
;111160125: Padroso;309;156;153;
;111160128: Prozelo;390;204;186;
;111160131: Rio de Moinhos;436;220;216;
;111160130: Rio Frio;815;408;407;
;111160133: Sabadim;513;240;273;
;111160144: Senharei;357;172;185;
;111160145: Sistelo;420;185;235;
;111160146: Soajo;821;351;470;
;111160152: União das freguesias de Alvora e Loureda;466;220;246;
;111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;290;136;154;
;111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;258;127;131;
;111160155: União das freguesias de Eiras e Mei;409;168;241;
;111160156: União das freguesias de Grade e Carralcova;564;253;311;
;111160157: União das freguesias de Guilhadeses e Santar;385;180;205;
;111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;488;224;264;
;111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);367;159;208;
;111160160: União das freguesias de Portela e Extremo;400;185;215;
;111160161: União das freguesias de São Jorge e Ermelo;587;276;311;
;111160162: União das freguesias de Souto e Tabaçô;358;176;182;
;111160163: União das freguesias de Távora (Santa Maria e São Vicente);723;351;372;
;111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;398;195;203;
