
Statistical table extracted on October 15, 2022 (13:03:14)
http://www.ine.pt



Geographic localization (NUTS -2013);Tractors by agricultural holding (No.) by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;No. ;
PT: Portugal;0,6;
1: Continente;0,6;
11: Norte;0,6;
111: Alto Minho;0,6;
1111601: Arcos de Valdevez;0,4;
111160101: Aboim das Choças;0,6;
111160102: Aguiã;0,3;
111160104: Ázere;0,3;
111160105: Cabana Maior;0;
111160106: Cabreiro;0,3;
111160108: Cendufe;0,5;
111160109: Couto;0,7;
111160113: Gavieira;0,4;
111160115: Gondoriz;0,3;
111160142: Jolda (São Paio);0,5;
111160121: Miranda;0,3;
111160122: Monte Redondo;0,4;
111160123: Oliveira;0,6;
111160124: Paçô;0,6;
111160125: Padroso;0,5;
111160128: Prozelo;0,4;
111160131: Rio de Moinhos;0,4;
111160130: Rio Frio;0,2;
111160133: Sabadim;0,4;
111160144: Senharei;0,2;
111160145: Sistelo;0,4;
111160146: Soajo;0,2;
111160152: União das freguesias de Alvora e Loureda;0,5;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;0,4;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;0,4;
111160155: União das freguesias de Eiras e Mei;0,4;
111160156: União das freguesias de Grade e Carralcova;0,3;
111160157: União das freguesias de Guilhadeses e Santar;0,5;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;0,2;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);0,6;
111160160: União das freguesias de Portela e Extremo;0,4;
111160161: União das freguesias de São Jorge e Ermelo;0,5;
111160162: União das freguesias de Souto e Tabaçô;0,4;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);0,4;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;0,5;
111160149: Vale;0,4;
1111602: Caminha;0,5;
111160201: Âncora;0,4;
111160205: Argela;0,4;
111160209: Dem;0,5;
111160211: Lanhelas;0,9;
111160214: Riba de Âncora;0,4;
111160215: Seixas;0,6;
111160221: União das freguesias de Arga (Baixo, Cima e São João);0,3;
