
Statistical table extracted on October 18, 2022 (23:21:44)
http://www.ine.pt



Geographic localization (NUTS -2013);Value of total standard production (?) of agricultural holdings by Geographic localization (NUTS -2013) -  Decennial (1) ;
;Data reference period;
;2009;
;? ;
PT: Portugal;4639738780;
1: Continente;4208310788;
11: Norte;927683951;
111: Alto Minho;68962051;
1111601: Arcos de Valdevez;8999064;
111160101: Aboim das Choças;102370;
111160102: Aguiã;141807;
111160104: Ázere;90852;
111160105: Cabana Maior;163891;
111160106: Cabreiro;504842;
111160108: Cendufe;111995;
111160109: Couto;67211;
111160113: Gavieira;644006;
111160115: Gondoriz;584747;
111160142: Jolda (São Paio);95462;
111160121: Miranda;223743;
111160122: Monte Redondo;108546;
111160123: Oliveira;126457;
111160124: Paçô;607403;
111160125: Padroso;146176;
111160128: Prozelo;156895;
111160131: Rio de Moinhos;130468;
111160130: Rio Frio;411148;
111160133: Sabadim;139995;
111160144: Senharei;192583;
111160145: Sistelo;496341;
111160146: Soajo;649546;
111160152: União das freguesias de Alvora e Loureda;197082;
111160154: União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada;63396;
111160153: União das freguesias de Arcos de Valdevez (São Paio) e Giela;220736;
111160155: União das freguesias de Eiras e Mei;123242;
111160156: União das freguesias de Grade e Carralcova;267041;
111160157: União das freguesias de Guilhadeses e Santar;185306;
111160158: União das freguesias de Jolda (Madalena) e Rio Cabrão;158044;
111160159: União das freguesias de Padreiro (Salvador e Santa Cristina);240713;
111160160: União das freguesias de Portela e Extremo;151043;
111160161: União das freguesias de São Jorge e Ermelo;308053;
111160162: União das freguesias de Souto e Tabaçô;182419;
111160163: União das freguesias de Távora (Santa Maria e São Vicente);307071;
111160164: União das freguesias de Vilela, São Cosme e São Damião e Sá;324707;
111160149: Vale;373727;
1111602: Caminha;2894007;
111160201: Âncora;51541;
111160205: Argela;103636;
111160209: Dem;92168;
111160211: Lanhelas;33069;
111160214: Riba de Âncora;1207195;
111160215: Seixas;40319;
111160221: União das freguesias de Arga (Baixo, Cima e São João);169922;
111160222: União das freguesias de Caminha (Matriz) e Vilarelho;68077;
